Sample	Unique Reads	Duplicate Reads
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG418 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG418_2	22754984	3799822
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG418 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG418_1	22355501	4199305
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG417 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG417_2	27296731	3225988
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG417 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG417_1	26970115	3552604
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG416 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG416_2	29211416	4512546
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG416 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG416_1	28828166	4895796
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG415 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG415_2	27933638	4696071
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG415 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG415_1	27414061	5215648
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG414 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG414_2	28611060	5387857
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG414 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG414_1	27850923	6147994
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG413 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG413_2	26124329	4830639
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG413 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG413_1	25508932	5446036
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG412 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG412_2	26226655	4259765
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG412 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG412_1	25768667	4717753
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG411 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG411_2	27273352	4473894
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG411 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG411_1	26819503	4927743
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG410 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG410_2	23077461	3173861
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG410 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG410_1	22698820	3552502
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG409 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG409_2	25687639	5884734
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG409 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG409_1	24963972	6608401
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG408 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG408_2	24726350	2929291
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG408 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG408_1	24433199	3222442
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG407 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG407_2	35805693	6672906
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG407 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG407_1	35076022	7402577
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG406 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG406_2	25345959	7656146
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG406 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG406_1	24599135	8402970
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG405 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG405_2	33855826	6913671
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG405 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG405_1	33037423	7732074
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG404 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG404_2	26764972	3902451
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG404 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG404_1	26191648	4475775
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG403 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG403_2	25652719	3159017
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG403 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG403_1	25057204	3754532
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG402 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG402_2	32792236	5100239
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG402 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG402_1	32083808	5808667
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG401 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG401_2	18147339	19231197
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG401 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG401_1	16172340	21206196
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG400 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG400_2	32476007	6020136
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG400 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG400_1	31701915	6794228
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG399 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG399_2	31863351	4906819
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG399 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG399_1	31234892	5535278
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG398 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG398_2	29103527	4354835
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG398 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG398_1	28555826	4902536
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG397 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG397_2	34624298	5923764
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG397 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG397_1	33806295	6741767
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG396 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG396_2	32160125	4059639
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG396 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG396_1	31488383	4731381
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG395 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG395_2	25600217	2947624
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG395 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG395_1	25394374	3153467
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG394 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG394_2	30521872	6710062
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG394 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG394_1	29758238	7473696
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG393 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG393_2	19200232	2486865
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG393 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG393_1	18851421	2835676
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG392 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG392_2	35289341	3278459
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG392 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG392_1	34824427	3743373
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG391 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG391_2	31646581	3204854
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG391 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG391_1	31185187	3666248
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG390 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG390_2	29806516	5516160
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG390 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG390_1	29260728	6061948
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG389 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG389_2	31935824	4356361
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG389 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG389_1	31507928	4784257
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG388 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG388_2	23527760	2806373
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG388 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG388_1	23280966	3053167
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG387 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG387_2	23009491	3090071
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG387 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG387_1	22443803	3655759
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG386 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG386_2	23364608	1800876
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG386 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG386_1	23139137	2026347
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG385 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG385_2	20229073	1402254
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG385 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG385_1	19993166	1638161
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG384 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG384_2	22643753	2006465
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG384 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG384_1	22398654	2251564
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG383 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG383_2	19937629	6994815
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG383 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG383_1	19385497	7546947
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG382 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG382_2	20612765	1806376
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG382 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG382_1	20399018	2020123
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG381 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG381_2	14836850	2604470
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG381 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG381_1	14574314	2867006
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG380 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG380_2	19532398	1514061
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG380 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG380_1	19284133	1762326
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG379 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG379_2	15321866	3820703
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG379 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG379_1	15008817	4133752
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG378 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG378_2	15052690	1653454
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG378 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG378_1	14603755	2102389
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG377 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG377_2	14052070	2716013
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG377 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG377_1	13740993	3027090
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG376 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG376_2	17588592	5078648
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG376 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG376_1	17233476	5433764
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG375 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG375_2	23518571	7731710
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG375 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG375_1	22654968	8595313
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG374 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG374_2	20136223	5129278
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG374 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG374_1	19651829	5613672
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG373 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG373_2	23721716	5027251
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG373 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG373_1	23186820	5562147
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG372 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG372_2	18909174	2486551
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG372 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG372_1	18529811	2865914
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG371 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG371_2	20757116	1906404
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG371 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG371_1	20487751	2175769
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG370 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG370_2	13962920	11122820
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG370 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG370_1	13109339	11976401
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG369 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG369_2	22521221	2192836
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG369 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG369_1	22281970	2432087
