Sample	Unique Reads	Duplicate Reads
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG457 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG457_1	23632667	5677004
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG456 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG456_2	24970466	7020042
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG456 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG456_1	24391520	7598988
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG455 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG455_2	30600955	4701493
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG455 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG455_1	30140515	5161933
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG454 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG454_2	28655178	2765088
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG454 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG454_1	28356082	3064184
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG453 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG453_2	37991185	5178634
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG453 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG453_1	37486765	5683054
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG452 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG452_2	35983589	3990419
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG452 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG452_1	35005101	4968907
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG451 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG451_2	27380949	3105719
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG451 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG451_1	26966070	3520598
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG450 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG450_2	32037857	3113509
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG450 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG450_1	31795379	3355987
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG449 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG449_2	25856999	2830872
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG449 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG449_1	25556641	3131230
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG448 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG448_2	34633287	9900489
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG448 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG448_1	33789337	10744439
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG447 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG447_2	27512177	5585350
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG447 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG447_1	26720250	6377277
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG446 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG446_2	28725026	4937329
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG446 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG446_1	28211347	5451008
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG445 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG445_2	32844467	4253901
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG445 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG445_1	32338141	4760227
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG444 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG444_2	31108412	2912644
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG444 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG444_1	30779626	3241430
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG443 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG443_2	25316000	4028014
