Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG82 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG82_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.002594669096660765)	(4, 0.0031136029159929174)	(5, 0.0031136029159929174)	(6, 0.003165496297926133)	(7, 0.0032173896798593483)	(8, 0.0033211764437257787)	(9, 0.0033211764437257787)	(10, 0.0033211764437257787)	(12, 0.003373069825658994)	(14, 0.003399016516625602)	(16, 0.003450909898558817)	(18, 0.0034768565895254245)	(20, 0.0035806433533918554)	(22, 0.0035806433533918554)	(24, 0.0036325367353250704)	(26, 0.003658483426291678)	(28, 0.0037363234991915012)	(30, 0.0037882168811247162)	(32, 0.0037882168811247162)	(34, 0.0037882168811247162)	(36, 0.0037882168811247162)	(38, 0.0038141635720913237)	(40, 0.003943897026924362)	(42, 0.003995790408857578)	(44, 0.0040736304817574)	(46, 0.004125523863690616)	(48, 0.004281204009490261)	(50, 0.00430715070045687)	(52, 0.004359044082390085)	(54, 0.004384990773356692)	(56, 0.004488777537223123)	(58, 0.004540670919156338)	(60, 0.0046185109920561605)	(62, 0.004826084519789022)	(64, 0.004929871283655452)	(66, 0.005241231575254745)	(68, 0.005526645175887429)	(70, 0.005915845540386544)	(72, 0.007368860234516571)	(74, 0.008406727873180878)	(76, 0.008873768310579816)	(78, 0.008873768310579816)	(80, 0.009081341838312676)	(82, 0.00970406242151126)	(84, 0.010041369404077159)	(86, 0.010222996240843413)	(88, 0.010534356532442704)	(90, 0.011001396969841641)	(92, 0.011831691080773088)	(94, 0.01299929217427043)	(96, 0.014296626722600812)	(98, 0.015983161635430312)	(100, 0.01870756418692411)	(102, 0.021976847248716676)	(104, 0.025375863765342278)	(106, 0.030772775486396668)	(108, 0.03725944822804858)	(110, 0.04576996286509589)	(112, 0.05422858412020998)	(114, 0.06478888734361929)	(116, 0.0759978578411938)	(118, 0.08798522906776653)	(120, 0.10121804146073643)	(122, 0.11484005421820545)	(124, 0.12952588130530537)	(126, 0.1441857617014387)	(128, 0.15832670827823986)	(130, 0.17706021915613057)	(132, 0.19465207563149056)	(134, 0.2110503843223866)	(136, 0.23131474996730716)	(138, 0.2482838858594686)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG82 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG82_2 - illumina_universal_adapter	(1, 0.00010378676386643058)	(2, 0.00010378676386643058)	(3, 0.00010378676386643058)	(4, 0.00015568014579964588)	(5, 0.00015568014579964588)	(6, 0.00015568014579964588)	(7, 0.00015568014579964588)	(8, 0.00015568014579964588)	(9, 0.000518933819332153)	(10, 0.0006227205831985835)	(12, 0.0006746139651317988)	(14, 0.0006746139651317988)	(16, 0.0007784007289982295)	(18, 0.0008562408018980524)	(20, 0.0014270680031634206)	(22, 0.0023092554960280807)	(24, 0.00308765622502631)	(26, 0.0044628308462565155)	(28, 0.006849926415184419)	(30, 0.00970406242151126)	(32, 0.012921452101370608)	(34, 0.01808484360372553)	(36, 0.024753143182143694)	(38, 0.03300419090952492)	(40, 0.04073630481757401)	(42, 0.050570100693918305)	(44, 0.061337977445060476)	(46, 0.07257289463360159)	(48, 0.08528677320723933)	(50, 0.09792281170797726)	(52, 0.11227133181251128)	(54, 0.12711283904541087)	(56, 0.1425251734795758)	(58, 0.15920889577110453)	(60, 0.17646344526389862)	(62, 0.19356231461089304)	(64, 0.212347718870717)	(66, 0.2294465882177114)	(68, 0.2501520476090643)	(70, 0.26966395921595326)	(72, 0.2903694186073062)	(74, 0.3097256500683955)	(76, 0.32819969403662014)	(78, 0.3482305394628412)	(80, 0.36857274518066163)	(82, 0.3880327634056173)	(84, 0.4096982503627348)	(86, 0.43185672444821765)	(88, 0.45219893016603807)	(90, 0.47451308439732065)	(92, 0.49516665040674035)	(94, 0.5162353634716257)	(96, 0.5362143155159136)	(98, 0.5585803631291294)	(100, 0.5799604364856141)	(102, 0.600406428967301)	(104, 0.6226427431256837)	(106, 0.6463839653601298)	(108, 0.6675824118798481)	(110, 0.6880802977434681)	(112, 0.7082149299335557)	(114, 0.7298544701997065)	(116, 0.7526875582503212)	(118, 0.7760395801202682)	(120, 0.8030500854165067)	(122, 0.8296713903482461)	(124, 0.8556959213877535)	(126, 0.8801636509692645)	(128, 0.90712226288357)	(130, 0.934028981415942)	(132, 0.9626481815521103)	(134, 0.990437087577347)	(136, 1.0207168759353782)	(138, 1.053461599935237)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG82 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG82_2 - polyg	(1, 0.06455536712491983)	(2, 0.06958902517244171)	(3, 0.07093825310270531)	(4, 0.07202801412330283)	(5, 0.07270262808843463)	(6, 0.0733253486716332)	(7, 0.07353292219936607)	(8, 0.0736367089632325)	(9, 0.07415564278256466)	(10, 0.07485620343866306)	(12, 0.07542703063992842)	(14, 0.07571244424056112)	(16, 0.07589407107732737)	(18, 0.07610164460506022)	(20, 0.07628327144182648)	(22, 0.0763092181327931)	(24, 0.07638705820569291)	(26, 0.07643895158762613)	(28, 0.07656868504245917)	(30, 0.07675031187922542)	(32, 0.07682815195212525)	(34, 0.07695788540695828)	(36, 0.0770357254798581)	(38, 0.07711356555275793)	(40, 0.07724329900759097)	(42, 0.07745087253532382)	(44, 0.07752871260822365)	(46, 0.07752871260822365)	(48, 0.07760655268112347)	(50, 0.07776223282692311)	(52, 0.07794385966368937)	(54, 0.07812548650045562)	(56, 0.07825521995528867)	(58, 0.07830711333722187)	(60, 0.07846279348302151)	(62, 0.07854063355592134)	(64, 0.07856658024688795)	(66, 0.07861847362882117)	(68, 0.07872226039268759)	(70, 0.07872226039268759)	(72, 0.07880010046558741)	(74, 0.07885199384752065)	(76, 0.07892983392042047)	(78, 0.07929308759395297)	(80, 0.07955255450361905)	(82, 0.07965634126748547)	(84, 0.07978607472231851)	(86, 0.08017527508681763)	(88, 0.08038284861455049)	(90, 0.08051258206938353)	(92, 0.08074610228808299)	(94, 0.08097962250678246)	(96, 0.08136882287128158)	(98, 0.08217317029124642)	(100, 0.08321103792991072)	(102, 0.0844564790963079)	(104, 0.08663600113750293)	(106, 0.08941229707092996)	(108, 0.09255184667788947)	(110, 0.09727414443381208)	(112, 0.10324188335613182)	(114, 0.11089615719128107)	(116, 0.11925099168252874)	(118, 0.12817665337504178)	(120, 0.13902237019908376)	(122, 0.15090595466179008)	(124, 0.16315279279802888)	(126, 0.1767488588645313)	(128, 0.19016329809426744)	(130, 0.206328086566464)	(132, 0.22103986034453055)	(134, 0.2379052094728255)	(136, 0.2554451725662523)	(138, 0.272855402204846)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG83 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG83_1 - polya	(1, 0.008619986038991416)	(2, 0.015596944228247065)	(3, 0.021054988182315333)	(4, 0.03007982101161934)	(5, 0.03681446214389957)	(6, 0.043956905152553065)	(7, 0.04994390951148231)	(8, 0.05553788742434167)	(9, 0.06026898020748368)	(10, 0.0701049841604432)	(12, 0.07940316245035972)	(14, 0.0881073684420804)	(16, 0.09505329822769895)	(18, 0.10117475900238895)	(20, 0.10729769732010928)	(22, 0.11331277499661495)	(24, 0.11839847810703807)	(26, 0.12319901541260596)	(28, 0.12896882094607554)	(30, 0.1340101977655885)	(32, 0.13938254422389718)	(34, 0.1444992757379574)	(36, 0.14990560568596384)	(38, 0.15457316411880132)	(40, 0.16076554695894751)	(42, 0.16731697275546586)	(44, 0.17276319636529142)	(46, 0.1779567601169292)	(48, 0.18259920031825094)	(50, 0.18747509231836607)	(52, 0.19286516929303882)	(54, 0.19822421786407443)	(56, 0.2031754645587368)	(58, 0.20763616696732695)	(60, 0.21302181131290868)	(62, 0.21784007913484063)	(64, 0.2225416210573759)	(66, 0.22762584662476865)	(68, 0.2330159235994414)	(70, 0.23871185198139405)	(72, 0.24412113701546118)	(74, 0.24930879059497763)	(76, 0.2550327922945067)	(78, 0.2608543118340381)	(80, 0.26598729632143203)	(82, 0.27110698292155294)	(84, 0.2766832303180482)	(86, 0.28241018710363797)	(88, 0.2875490817631533)	(90, 0.2929539341681294)	(92, 0.2987074867282652)	(94, 0.30537120579508925)	(96, 0.3121457405891886)	(98, 0.31750183407416355)	(100, 0.3228594051021688)	(102, 0.3283573427180563)	(104, 0.33360262047575584)	(106, 0.33907987248921856)	(108, 0.3451924680057265)	(110, 0.3510317180616219)	(112, 0.35729650051025474)	(114, 0.36352138929706834)	(116, 0.36970933950812357)	(118, 0.37593127320887654)	(120, 0.3819552161435642)	(122, 0.38849925422493087)	(124, 0.3953062949656977)	(126, 0.4031919421186111)	(128, 0.41031369952483987)	(130, 0.41671441593226377)	(132, 0.4233884778003001)	(134, 0.4299369485107578)	(136, 0.43609239277514555)	(138, 0.44234535487953563)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG83 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG83_2 - polya	(1, 0.011149539706929931)	(2, 0.01841905141619249)	(3, 0.024255346386027266)	(4, 0.03361410394018764)	(5, 0.04041375696580274)	(6, 0.047352299036269606)	(7, 0.05381802733702833)	(8, 0.05985526815898907)	(9, 0.06518919849850895)	(10, 0.07517147921147194)	(12, 0.08523206970504281)	(14, 0.09485974009072469)	(16, 0.10548475202188466)	(18, 0.11328913430812954)	(20, 0.12062956808284832)	(22, 0.12771143182725797)	(24, 0.13363490183588267)	(26, 0.1389511016590385)	(28, 0.14487604921069358)	(30, 0.15019668166294042)	(32, 0.15596500965337964)	(34, 0.1614732900704794)	(36, 0.1672829892657681)	(38, 0.17233618642952375)	(40, 0.17847981034966884)	(42, 0.18521445148194907)	(44, 0.1910019875317827)	(46, 0.19655163915373192)	(48, 0.20145855955748415)	(50, 0.2066949720570017)	(52, 0.21242045129956116)	(54, 0.21783269141968897)	(56, 0.22296567590708288)	(58, 0.22752241861264502)	(60, 0.2330587723473212)	(62, 0.2381991445498668)	(64, 0.24303218780210215)	(66, 0.2484163546046535)	(68, 0.2537044811102329)	(70, 0.25948315190188453)	(72, 0.26493824076989214)	(74, 0.2700091684500119)	(76, 0.2756785010574184)	(78, 0.2814734248224038)	(80, 0.2865872012504033)	(82, 0.2917778099159804)	(84, 0.29727426998883744)	(86, 0.3029967941453362)	(88, 0.3079569060981806)	(90, 0.3133011792389129)	(92, 0.31928375096875106)	(94, 0.32588245814224026)	(96, 0.33250332846118447)	(98, 0.33798353556070776)	(100, 0.343222903146286)	(102, 0.3486380983524745)	(104, 0.3540222651550259)	(106, 0.3596487490145527)	(108, 0.3652840981322615)	(110, 0.37113073590330864)	(112, 0.3773822204646684)	(114, 0.384022298843007)	(116, 0.39037425633042966)	(118, 0.39671291593057934)	(120, 0.4026467287404164)	(122, 0.40889821330177617)	(124, 0.415377239489808)	(126, 0.42310331199544493)	(128, 0.43025609780531077)	(130, 0.43676762994000995)	(132, 0.4434786303838048)	(134, 0.4499709544591096)	(136, 0.4560303584265254)	(138, 0.4621931904060649)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG83 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG83_2 - polyg	(1, 0.10507990523157207)	(2, 0.1137353523032916)	(3, 0.11538133523908803)	(4, 0.11741738953489368)	(5, 0.1183571069021886)	(6, 0.11894221394220242)	(7, 0.11969871597373544)	(8, 0.12040793662829763)	(9, 0.12117921409013402)	(10, 0.1221913310659155)	(12, 0.12338961846351956)	(14, 0.12417714889868967)	(16, 0.12470758684658098)	(18, 0.1251966535896228)	(20, 0.12570640593508942)	(22, 0.1261659218175245)	(24, 0.1265825889520798)	(26, 0.12696527259693732)	(28, 0.1273582990430072)	(30, 0.12772177462847034)	(32, 0.1281413968490863)	(34, 0.12854624363939887)	(36, 0.12899837180668228)	(38, 0.12945345506002637)	(40, 0.12990853831337046)	(42, 0.13035623385156284)	(44, 0.13078324378733047)	(46, 0.13129151858976673)	(48, 0.1317731976176569)	(50, 0.1322105503546369)	(52, 0.13269518446858775)	(54, 0.13314731263587115)	(56, 0.13361864886254898)	(58, 0.13401167530861885)	(60, 0.13445346067468988)	(62, 0.1348863807825789)	(64, 0.13535180683713532)	(66, 0.13582462060684347)	(68, 0.13638165432928087)	(70, 0.1368884515886868)	(72, 0.137387861132941)	(74, 0.13782078124083)	(76, 0.13831280306993252)	(78, 0.13890973045418903)	(80, 0.13940766245541292)	(82, 0.13989968428451544)	(84, 0.14035328999482918)	(86, 0.14087190759847779)	(88, 0.1413122154215185)	(90, 0.1418116249657727)	(92, 0.14231546713911794)	(94, 0.1428902313779194)	(96, 0.14342214686884106)	(98, 0.14390234835370086)	(100, 0.14439437018280338)	(102, 0.14494401619008912)	(104, 0.14554094357434563)	(106, 0.14621765828224037)	(108, 0.146941654367106)	(110, 0.147707021656821)	(112, 0.14858024958775073)	(114, 0.14933084144716238)	(116, 0.1502040693780921)	(118, 0.15110241554053755)	(120, 0.1520125820472257)	(122, 0.1529788951890667)	(124, 0.1539836244496965)	(126, 0.15518634447639154)	(128, 0.1563255301527821)	(130, 0.15752234000735582)	(132, 0.15875313335162727)	(134, 0.15998983686802012)	(136, 0.1613802048595681)	(138, 0.16283115211535992)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG84 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG84_2 - polyg	(1, 0.09513054088121578)	(2, 0.10111966699281859)	(3, 0.10224312968458865)	(4, 0.10386947567648437)	(5, 0.10475487127404601)	(6, 0.10526845421885518)	(7, 0.10589973325518313)	(8, 0.10647216424575169)	(9, 0.10712484257144668)	(10, 0.10791126645568572)	(12, 0.10900798003574698)	(14, 0.1096058226824389)	(16, 0.11002578373626723)	(18, 0.1103842218331653)	(20, 0.11065572531700973)	(22, 0.11093659098995226)	(24, 0.1111987322846986)	(26, 0.11147023576854304)	(28, 0.11165881700609015)	(30, 0.11186344771066256)	(32, 0.11208947770460201)	(34, 0.11230213314268707)	(36, 0.11252281331428476)	(38, 0.11277425496434758)	(40, 0.11300028495828704)	(42, 0.11321427785195752)	(44, 0.11343362056796977)	(46, 0.11365430073956748)	(48, 0.11389236783377588)	(50, 0.11412508510564254)	(52, 0.1143417529104839)	(54, 0.11457313272676511)	(56, 0.11480451254304634)	(58, 0.11508805312715975)	(60, 0.11528332164263407)	(62, 0.1155414505706241)	(64, 0.11580492932095587)	(66, 0.11603229677048077)	(68, 0.11626367658676198)	(70, 0.11649639385862864)	(72, 0.11670904929671369)	(74, 0.11693374183506772)	(76, 0.11714907218432363)	(78, 0.11741923821258263)	(80, 0.11765329294003472)	(82, 0.11784989891109449)	(84, 0.11804249251539792)	(86, 0.11828724688753355)	(88, 0.1185199641594002)	(90, 0.11867243409614042)	(92, 0.11882891639963697)	(94, 0.11902017254835498)	(96, 0.1192087537859021)	(98, 0.11940000993462009)	(100, 0.11960062827243617)	(102, 0.11979990915466682)	(104, 0.12006873772734036)	(106, 0.12034960340028289)	(108, 0.12059168286124762)	(110, 0.12089528527914263)	(112, 0.12121894953081924)	(114, 0.12156267561627747)	(116, 0.12198263667010581)	(118, 0.1223624740563709)	(120, 0.12281319658866438)	(122, 0.12324786965393256)	(124, 0.12366916816334633)	(126, 0.12410116631744364)	(128, 0.12457195068351871)	(130, 0.12509489581742597)	(132, 0.1256472649742129)	(134, 0.12618625957514545)	(136, 0.12676671529922667)	(138, 0.12733245901186802)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG85 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG85_2 - polyg	(1, 0.08084842156427675)	(2, 0.09062562585263316)	(3, 0.09267031367042976)	(4, 0.09460177773284349)	(5, 0.09555085921178816)	(6, 0.09607035644236842)	(7, 0.09661316444611572)	(8, 0.09712933156624352)	(9, 0.09768546001180058)	(10, 0.09840476386952707)	(12, 0.09944875349636623)	(14, 0.10002153249418547)	(16, 0.10036786398123895)	(18, 0.1007092003026138)	(20, 0.10098393441493989)	(22, 0.10121371203615807)	(24, 0.10141018855285189)	(26, 0.10161499034567678)	(28, 0.10180980180714438)	(30, 0.10199628799248088)	(32, 0.10217944406736494)	(34, 0.10236759530792766)	(36, 0.10259237776346718)	(38, 0.10277719889357746)	(40, 0.10296868024459262)	(42, 0.10311187499404742)	(44, 0.10328004557189552)	(46, 0.10344821614974362)	(48, 0.10365801310824717)	(50, 0.10378955247111846)	(52, 0.10399102415349093)	(54, 0.10413754901339817)	(56, 0.104319040033056)	(58, 0.10446389983773703)	(60, 0.10465371613352598)	(62, 0.10483187704273138)	(64, 0.10499671751012703)	(66, 0.1052165047999879)	(68, 0.10538967054351464)	(70, 0.10557116156317249)	(72, 0.10573766708579437)	(74, 0.10591083282932112)	(76, 0.10613062011918199)	(78, 0.10637704829266237)	(80, 0.10659683558252322)	(82, 0.1068249481485152)	(84, 0.10699644883681572)	(86, 0.10717294469079491)	(88, 0.1073311249372857)	(90, 0.10747098957628806)	(92, 0.10764915048549348)	(94, 0.10781565600811535)	(96, 0.10801712769048781)	(98, 0.10819195848924078)	(100, 0.1083717844536724)	(102, 0.10854328514197292)	(104, 0.10879803859158439)	(106, 0.10912605447114948)	(108, 0.10946572573729811)	(110, 0.10977542600937479)	(112, 0.11014173815914291)	(114, 0.11053469119253054)	(116, 0.11099757654541934)	(118, 0.1115270641073569)	(120, 0.11199993979160303)	(122, 0.11251777196695704)	(124, 0.1130639100811568)	(126, 0.1136167084162614)	(128, 0.114237774015641)	(130, 0.11487715522250899)	(132, 0.1155448423682227)	(134, 0.11633407854545039)	(136, 0.11703340174046224)	(138, 0.11790422562377464)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG86 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG86_2 - polyg	(1, 0.09272198060768483)	(2, 0.10227087554951608)	(3, 0.10422843466940607)	(4, 0.10629652991446287)	(5, 0.10726639527076537)	(6, 0.10790821793302438)	(7, 0.10844663583303055)	(8, 0.10903140759197764)	(9, 0.1097695036535755)	(10, 0.11052721096318684)	(12, 0.1115149047267743)	(14, 0.11221021261088823)	(16, 0.11259708904897214)	(18, 0.11293761162811511)	(20, 0.11322108330394617)	(22, 0.11345820112083632)	(24, 0.11365074791951402)	(26, 0.11385577460329119)	(28, 0.1140518870834259)	(30, 0.11421769127117615)	(32, 0.11436388421091291)	(34, 0.1145653452132331)	(36, 0.1147596748526393)	(38, 0.11499857551025794)	(40, 0.11521073355694911)	(42, 0.1154050631963553)	(44, 0.11561187272086099)	(46, 0.11580976804172419)	(48, 0.11599696631821638)	(50, 0.11623764981656351)	(52, 0.11647120195199666)	(54, 0.11665305170630338)	(56, 0.11688660384173652)	(58, 0.11703992814438727)	(60, 0.11719325244703804)	(62, 0.11737331936061626)	(64, 0.11760152297386392)	(66, 0.11778158988744214)	(68, 0.11796343964174885)	(70, 0.11817381484771153)	(72, 0.11833961903546178)	(74, 0.11852681731195398)	(76, 0.11867657593314775)	(78, 0.11888160261692493)	(80, 0.11906701805268866)	(82, 0.11922212519606791)	(84, 0.11938436370236116)	(86, 0.11955729925302538)	(88, 0.11977658866263055)	(90, 0.11998874670932172)	(92, 0.1201937733930989)	(94, 0.12037205746594863)	(96, 0.12055390722025536)	(98, 0.12071079720436312)	(100, 0.12092652093251127)	(102, 0.12113154761628847)	(104, 0.12135440270735062)	(106, 0.12157012643549878)	(108, 0.12182685550040238)	(110, 0.12205505911365003)	(112, 0.12232783374511011)	(114, 0.12262378530604065)	(116, 0.1229874848146541)	(118, 0.12330304762359812)	(120, 0.12364891872492657)	(122, 0.12400013834844054)	(124, 0.1244191059196374)	(126, 0.12487373030540419)	(128, 0.12533726889481347)	(130, 0.1258970808835616)	(132, 0.12637666503952738)	(134, 0.1268829918064206)	(136, 0.127572951168349)	(138, 0.12820764246769406)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG87 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG87_2 - polyg	(1, 0.0899961948821517)	(2, 0.0962344944355623)	(3, 0.0972170725300887)	(4, 0.09876593395012097)	(5, 0.09943016898598461)	(6, 0.09989543961018403)	(7, 0.10033928329774268)	(8, 0.10082291986763418)	(9, 0.10146878895780574)	(10, 0.10224475016329622)	(12, 0.10317988289811807)	(14, 0.10375534919646998)	(16, 0.10410124117367087)	(18, 0.10446243810561515)	(20, 0.10473945778647072)	(22, 0.10498433706236515)	(24, 0.10522462485183656)	(26, 0.10542205876802643)	(28, 0.10561184020684464)	(30, 0.1058276400687266)	(32, 0.10602048249849347)	(34, 0.10624393483774713)	(36, 0.10641228933992455)	(38, 0.10660513176969141)	(40, 0.10675512032617675)	(42, 0.10697245068353306)	(44, 0.10716223212235124)	(46, 0.10733517811095168)	(48, 0.10755556945925666)	(50, 0.10771014950216502)	(52, 0.1078769735088681)	(54, 0.10804685850651986)	(56, 0.10821827399964597)	(58, 0.10838203701540036)	(60, 0.10859936737275667)	(62, 0.1088289416939077)	(64, 0.10903708907841797)	(66, 0.10923299249913351)	(68, 0.10940134700131093)	(70, 0.10956511001706533)	(72, 0.1097502999694605)	(74, 0.10988498357120244)	(76, 0.11003191113673907)	(78, 0.11029974784474862)	(80, 0.11051707820210493)	(82, 0.11069767666807706)	(84, 0.1109119460344847)	(86, 0.111129276391841)	(88, 0.11131905783065918)	(90, 0.11149200381925962)	(92, 0.11167107178975744)	(94, 0.11189146313806242)	(96, 0.11209808002709834)	(98, 0.11232000187087766)	(100, 0.11250825281422151)	(102, 0.11270109524398837)	(104, 0.11295515749272884)	(106, 0.11326278708307122)	(108, 0.11357653865531096)	(110, 0.11383213139952578)	(112, 0.11414435247629118)	(114, 0.11445504305758222)	(116, 0.11480705701668048)	(118, 0.11516978444409909)	(120, 0.11551567642129998)	(122, 0.11596258109980731)	(124, 0.11644621766969881)	(126, 0.11689465284368049)	(128, 0.11744257022349427)	(130, 0.11800885354900015)	(132, 0.11854299646954487)	(134, 0.11908173087651261)	(136, 0.1195913858694679)	(138, 0.12024337694153682)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG89 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG89_2 - polyg	(1, 0.10021028776378492)	(2, 0.10936685508055002)	(3, 0.11133316105232824)	(4, 0.11333767245101924)	(5, 0.11432846652229091)	(6, 0.11486843655599166)	(7, 0.11538548333354473)	(8, 0.11599677016414936)	(9, 0.11661060402321484)	(10, 0.11743074718760937)	(12, 0.11863803867805352)	(14, 0.11930663364902733)	(16, 0.1196543030339337)	(18, 0.12000069890460965)	(20, 0.12029615420606857)	(22, 0.12053430136715829)	(24, 0.1207915512417044)	(26, 0.1209902194616509)	(28, 0.12113157954122822)	(30, 0.12130223044810534)	(32, 0.1215136338103561)	(34, 0.12171739608722432)	(36, 0.1219249789067838)	(38, 0.12209945035635221)	(40, 0.12233122994628978)	(42, 0.122526077623545)	(44, 0.12269927555888299)	(46, 0.12288648215075565)	(48, 0.12305076548648065)	(50, 0.12322268990758821)	(52, 0.12337423810100893)	(54, 0.12356781226403374)	(56, 0.12379959185397132)	(58, 0.12397915736046142)	(60, 0.1241472612388777)	(62, 0.12435229702997633)	(64, 0.12454332416454028)	(66, 0.1247190691283391)	(68, 0.12488972003521623)	(70, 0.12508584122670188)	(72, 0.125256492133579)	(74, 0.125420775469304)	(76, 0.12557869123387685)	(78, 0.12579264162458847)	(80, 0.12597857470223073)	(82, 0.12617214886525552)	(84, 0.12636317599981944)	(86, 0.12654401502054)	(88, 0.12675541838279075)	(90, 0.1269273428038983)	(92, 0.12709799371077546)	(94, 0.12731958518686964)	(96, 0.12749023609374674)	(98, 0.12766598105754556)	(100, 0.12785318764941825)	(102, 0.1280594969547473)	(104, 0.12831802034352385)	(106, 0.1286122021307523)	(108, 0.12887072551952888)	(110, 0.12915726622137477)	(112, 0.12944253340899026)	(114, 0.12978128819428367)	(116, 0.13015952192072028)	(118, 0.13054157618984816)	(120, 0.13087141637552857)	(122, 0.13122927387427835)	(124, 0.1316087811149454)	(126, 0.13196791212792564)	(128, 0.13234614585436222)	(130, 0.13277659366424632)	(132, 0.1332401528441215)	(134, 0.13366805362554474)	(136, 0.13410996306350265)	(138, 0.1345964454995255)
