Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12_2 - polyg	(1, 0.07869374148490718)	(2, 0.08153196940883334)	(3, 0.08217335219871365)	(4, 0.08330558916452278)	(5, 0.08422403186703847)	(6, 0.0848610515086883)	(7, 0.08551334216914482)	(8, 0.08608273301322224)	(9, 0.08675247626660067)	(10, 0.08830139388842047)	(15, 0.0897547585639928)	(20, 0.09060557246893608)	(25, 0.09132418298249587)	(30, 0.09195204001286168)	(35, 0.09260956645119478)	(40, 0.09323742348156061)	(45, 0.09386746208604167)	(50, 0.09443859818941129)	(55, 0.09498006488481366)	(60, 0.09552851261738478)	(65, 0.09608394138712467)	(70, 0.09669609108386076)	(75, 0.09732307548458052)	(80, 0.09795442303353072)	(85, 0.09864816360217679)	(90, 0.09925420489139022)	(95, 0.09985195619896574)	(100, 0.10047065061804758)	(105, 0.10119536953913004)	(110, 0.10195455733123326)	(115, 0.10278791864325462)	(120, 0.10371377869776213)	(125, 0.10479496682927465)	(130, 0.1059180411837998)	(135, 0.1070528960385472)	(140, 0.10842685141632483)																																						
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13_1 - illumina_universal_adapter	(1, 7.628091096392907e-06)	(2, 7.628091096392907e-06)	(3, 1.7798879224916784e-05)	(4, 2.542697032130969e-05)	(5, 2.542697032130969e-05)	(6, 3.30550614177026e-05)	(7, 4.0683152514095506e-05)	(8, 5.085394064261938e-05)	(9, 6.356742580327423e-05)	(10, 9.204563256314107e-05)	(15, 0.00013476294270294134)	(20, 0.00020087306553834657)	(25, 0.00028223937056653757)	(30, 0.0004693818721313769)	(35, 0.0008568888998281366)	(40, 0.0014401835989989809)	(45, 0.0022792736196022003)	(50, 0.003255160740534067)	(55, 0.004565666790894369)	(60, 0.006074503209760886)	(65, 0.007759802802657291)	(70, 0.009835660659689015)	(75, 0.012473963100228108)	(80, 0.015795742503004008)	(85, 0.019641317494398885)	(90, 0.0245263470325289)	(95, 0.030859188260754296)	(100, 0.03908888147494939)	(105, 0.04921084982045635)	(110, 0.06233370920328428)	(115, 0.07933875841476977)	(120, 0.10181264040296256)	(125, 0.1304556139305115)	(130, 0.16639511086146347)	(135, 0.21229486060667888)	(140, 0.270598903553442)																																						
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13_2 - illumina_universal_adapter	(1, 2.0341576257047753e-05)	(2, 2.542697032130969e-05)	(3, 2.796966735344066e-05)	(4, 3.8140455481964534e-05)	(5, 4.322584954622647e-05)	(6, 5.085394064261938e-05)	(7, 5.848203173901229e-05)	(8, 6.865281986753616e-05)	(9, 6.865281986753616e-05)	(10, 9.204563256314107e-05)	(15, 0.00013018608804510562)	(20, 0.00019426205325480606)	(25, 0.00027410274006371845)	(30, 0.00047294164797636023)	(35, 0.0008782475548980366)	(40, 0.0014701874239781264)	(45, 0.002348943518282589)	(50, 0.0033517832277550437)	(55, 0.0047085663641001285)	(60, 0.006226556492282318)	(65, 0.007906262151708036)	(70, 0.010009072597280348)	(75, 0.012629067619188097)	(80, 0.015963051967718224)	(85, 0.01987321146372923)	(90, 0.024801466851405475)	(95, 0.03105853570807336)	(100, 0.039242460375690104)	(105, 0.04938883861270552)	(110, 0.06261086317978655)	(115, 0.07959302811798287)	(120, 0.10204961976635715)	(125, 0.13082633915779618)	(130, 0.16772443286986155)	(135, 0.21463871873089718)	(140, 0.27383473979653183)																																						
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13_2 - polyg	(1, 0.11356193484903333)	(2, 0.11818710075047957)	(3, 0.11901601998295427)	(4, 0.12045772920017253)	(5, 0.12134767316141837)	(6, 0.12196300584319406)	(7, 0.12265461943593368)	(8, 0.1233538611197697)	(9, 0.12407344437986277)	(10, 0.1259199509645963)	(15, 0.1276815314684566)	(20, 0.12869149072961905)	(25, 0.1294344668024077)	(30, 0.13007471791509828)	(35, 0.13068242250577758)	(40, 0.13133182732778384)	(45, 0.13193902337905672)	(50, 0.13252587785407252)	(55, 0.13312798851128116)	(60, 0.13373009916848977)	(65, 0.13433373544391763)	(70, 0.134934320482907)	(75, 0.13557253743797187)	(80, 0.13622651911463596)	(85, 0.136891180118835)	(90, 0.13750600426120424)	(95, 0.13808573918453013)	(100, 0.13871429389087286)	(105, 0.13942675759927597)	(110, 0.14027550986860132)	(115, 0.141286994747983)	(120, 0.14260309473181398)	(125, 0.14410379452017769)	(130, 0.1458633408664123)	(135, 0.1478781739946729)	(140, 0.15021440402779485)																																						
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG14 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG14_1 - illumina_universal_adapter	(1, 4.7506403150548646e-06)	(2, 1.4251920945164594e-05)	(3, 1.6627241102692026e-05)	(4, 2.3753201575274323e-05)	(5, 3.087916204785662e-05)	(6, 4.038044267796635e-05)	(7, 4.7506403150548646e-05)	(8, 5.463236362313094e-05)	(9, 6.175832409571324e-05)	(10, 8.646165373399853e-05)	(15, 0.00014536959364067886)	(20, 0.00021235362208295246)	(25, 0.0003258939256127637)	(30, 0.0005610506212079795)	(35, 0.0010384899728709935)	(40, 0.0016945534003800701)	(45, 0.0025259154555146717)	(50, 0.003634714905048477)	(55, 0.004953967720539213)	(60, 0.006442818395277407)	(65, 0.008172051469957378)	(70, 0.010310789739795077)	(75, 0.013004402798431186)	(80, 0.016383533254529712)	(85, 0.02058880006141628)	(90, 0.026060112512264966)	(95, 0.03270245780077467)	(100, 0.04140325553779766)	(105, 0.05304089911758757)	(110, 0.067626315012869)	(115, 0.08640037047393431)	(120, 0.1102362331906906)	(125, 0.14111587030257872)	(130, 0.18021459022354328)	(135, 0.22962362482027138)	(140, 0.29212162361303873)																																						
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG14 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG14_2 - illumina_universal_adapter	(1, 7.125960472582297e-06)	(2, 1.1876600787637161e-05)	(3, 1.1876600787637161e-05)	(4, 3.087916204785662e-05)	(5, 3.325448220538405e-05)	(6, 4.513108299302121e-05)	(7, 5.7007683780658375e-05)	(8, 6.413364425324067e-05)	(9, 6.413364425324067e-05)	(10, 9.358761420658083e-05)	(15, 0.00015344568217627211)	(20, 0.00022423022287058962)	(25, 0.00033919571849491735)	(30, 0.000579103054405188)	(35, 0.0010945475285886407)	(40, 0.0017553615964127725)	(45, 0.002590524163799418)	(50, 0.003672720027568916)	(55, 0.004996248419343202)	(60, 0.00648462403004989)	(65, 0.008219082809076423)	(70, 0.010356395886819605)	(75, 0.013055234649802275)	(80, 0.016497073558059523)	(85, 0.020817780924601924)	(90, 0.026295744271891686)	(95, 0.032918136871078175)	(100, 0.04152582205792608)	(105, 0.05317249185431459)	(110, 0.06769139878518525)	(115, 0.0862939561308771)	(120, 0.11012886871957037)	(125, 0.1411885550993991)	(130, 0.18104452708658336)	(135, 0.23148350050361538)	(140, 0.29480383513491865)																																						
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG14 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG14_2 - polyg	(1, 0.08571817852469245)	(2, 0.08970396574902348)	(3, 0.09039993455517902)	(4, 0.09158996995410026)	(5, 0.09249021629380316)	(6, 0.09306266845176728)	(7, 0.09371113085477226)	(8, 0.09427645705226378)	(9, 0.09493204541574136)	(10, 0.09654013716238743)	(15, 0.09802946290115713)	(20, 0.09892590872860799)	(25, 0.0996978877798044)	(30, 0.10039100620177091)	(35, 0.10109600122452504)	(40, 0.10180004611921618)	(45, 0.10251691774275798)	(50, 0.10320433539634641)	(55, 0.10388700240961979)	(60, 0.10451931263555361)	(65, 0.10515162286148738)	(70, 0.10578488321548421)	(75, 0.10644997285959187)	(80, 0.10710936173532151)	(85, 0.107889891939085)	(90, 0.10862101548357195)	(95, 0.10932506037826309)	(100, 0.11003338084923778)	(105, 0.11085524162374225)	(110, 0.11188233005985712)	(115, 0.1130590636658962)	(120, 0.11445907736674288)	(125, 0.11610184878768885)	(130, 0.11804628586864081)	(135, 0.12011708998197324)	(140, 0.12244632892844462)																																						
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG15 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG15_1 - illumina_universal_adapter	(1, 1.2952124673007423e-05)	(2, 1.2952124673007423e-05)	(3, 2.331382441141336e-05)	(4, 3.626594908442078e-05)	(5, 4.403722388822524e-05)	(6, 5.698934856123266e-05)	(7, 6.73510482996386e-05)	(8, 8.807444777645048e-05)	(9, 9.843614751485641e-05)	(10, 0.00012744890678239305)	(15, 0.0001984265499904737)	(20, 0.0002662956832770326)	(25, 0.0003735392755695341)	(30, 0.0005781828454030514)	(35, 0.0009139019169274037)	(40, 0.0014314688188607804)	(45, 0.0021516069506799934)	(50, 0.0030634365276597155)	(55, 0.0041529692551531)	(60, 0.005391192373892609)	(65, 0.007025750507626147)	(70, 0.009012606432465483)	(75, 0.011484907990049142)	(80, 0.014508970058702914)	(85, 0.018246435154345937)	(90, 0.02324906378804832)	(95, 0.029829261206923013)	(100, 0.03808805398341946)	(105, 0.04891603021005366)	(110, 0.06337889070492068)	(115, 0.08180924602962333)	(120, 0.10552665864584758)	(125, 0.1355750698022379)	(130, 0.17380352481711275)	(135, 0.22181238821506896)	(140, 0.28204650304938345)																																						
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG15 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG15_2 - illumina_universal_adapter	(1, 2.5904249346014847e-06)	(2, 7.771274803804453e-06)	(3, 1.5542549607608906e-05)	(4, 2.331382441141336e-05)	(5, 3.626594908442078e-05)	(6, 4.1446798953623755e-05)	(7, 4.921807375742821e-05)	(8, 5.957977349583414e-05)	(9, 7.771274803804453e-05)	(10, 0.00011656912205706681)	(15, 0.00019117336017358957)	(20, 0.0002683680232247138)	(25, 0.00039322650507250535)	(30, 0.0006087498596313489)	(35, 0.0009926508349392888)	(40, 0.0015459656009701658)	(45, 0.0022749111775670237)	(50, 0.003181559904677543)	(55, 0.004258140507497921)	(60, 0.005467350866969893)	(65, 0.007059426031775964)	(70, 0.009019341537295448)	(75, 0.011492161179866026)	(80, 0.014527103033245125)	(85, 0.018310677692724053)	(90, 0.023324704196138683)	(95, 0.029776416538257144)	(100, 0.037902061473115076)	(105, 0.048603106877953814)	(110, 0.06272558553641419)	(115, 0.08080467923998487)	(120, 0.1043806546547799)	(125, 0.13441507751652332)	(130, 0.17309478455500577)	(135, 0.22177456801102383)	(140, 0.2821604817465059)																																						
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG15 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG15_2 - polyg	(1, 0.11511589366875537)	(2, 0.11949889265810108)	(3, 0.120402950960277)	(4, 0.12185617934858843)	(5, 0.12297006207046707)	(6, 0.12370056190202469)	(7, 0.12451395533148955)	(8, 0.12517192326487833)	(9, 0.12596200286993178)	(10, 0.1280074023982931)	(15, 0.129867327501337)	(20, 0.13090660598509912)	(25, 0.13169668559015252)	(30, 0.13237071415813587)	(35, 0.13300744060706088)	(40, 0.13361308195677074)	(45, 0.1342710498901595)	(50, 0.13488808910958155)	(55, 0.1355367315132058)	(60, 0.13614548137283713)	(65, 0.13677858122685377)	(70, 0.13738318640658972)	(75, 0.13796344159194046)	(80, 0.1385618297518334)	(85, 0.13924518384958126)	(90, 0.1398399454145658)	(95, 0.14043729740448485)	(100, 0.1410652164086323)	(105, 0.14181799389462746)	(110, 0.14263449583401386)	(115, 0.14365149666333837)	(120, 0.1448591527678496)	(125, 0.14623622266308378)	(130, 0.1479065286609148)	(135, 0.14966853570143074)	(140, 0.15176626181347103)																																						
