Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57844219.0	8.9 Gbp	0.0	155.0	44.0	76.3736316447058	155.0	155	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57844219.0	8.9 Gbp	0.0	155.0	44.0	77.48696908956194	155.0	155	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41304617.0	6.4 Gbp	0.0	155.0	46.0	72.53514946400685	155.0	155	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41304617.0	6.4 Gbp	0.0	155.0	46.0	73.90130862575671	155.0	155	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42862163.0	6.6 Gbp	0.0	155.0	47.0	77.08322501682173	155.0	155	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42862163.0	6.6 Gbp	0.0	155.0	47.0	78.20859647439093	155.0	155	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45838461.0	7.1 Gbp	0.0	155.0	44.0	77.01461143874614	155.0	155	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45838461.0	7.1 Gbp	0.0	155.0	44.0	78.23481897910428	155.0	155	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39328319.0	6 Gbp	0.0	155.0	45.0	76.09036759200465	155.0	155	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39328319.0	6 Gbp	0.0	155.0	45.0	77.37746031410852	155.0	155	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG14 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG14_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG14_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42099588.0	6.5 Gbp	0.0	155.0	45.0	80.8065879629719	155.0	155	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG14 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG14_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG14_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42099588.0	6.5 Gbp	0.0	155.0	45.0	81.65132583182935	155.0	155	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG15 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG15_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG15_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38603705.0	5.9 Gbp	0.0	155.0	45.0	80.7438320751178	155.0	155	pass	pass	fail	pass	fail	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG15 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG15_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG15_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38603705.0	5.9 Gbp	0.0	155.0	45.0	81.91134179328714	155.0	155	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG17 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG17_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG17_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42838139.0	6.6 Gbp	0.0	155.0	33.0	47.375440961460654	155.0	155	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG17 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG17_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG17_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42838139.0	6.6 Gbp	0.0	155.0	33.0	49.23359553484508	155.0	155	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG19 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG19_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG19_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43314573.0	6.7 Gbp	0.0	155.0	38.0	49.49676893176822	155.0	155	pass	pass	fail	pass	warn	fail	pass	pass	fail	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG19 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG19_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG19_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43314573.0	6.7 Gbp	0.0	155.0	38.0	51.47758284366909	155.0	155	pass	pass	pass	pass	warn	fail	pass	pass	warn	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG2 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG2_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37274235.0	5.7 Gbp	0.0	155.0	45.0	80.30816994231895	155.0	155	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG2 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG2_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37274235.0	5.7 Gbp	0.0	155.0	45.0	81.31070747972412	155.0	155	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG20 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG20_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG20_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68119071.0	10.5 Gbp	0.0	155.0	49.0	55.71993729014304	155.0	155	pass	pass	fail	pass	warn	pass	pass	pass	warn	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG20 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG20_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG20_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68119071.0	10.5 Gbp	0.0	155.0	49.0	57.350576823604946	155.0	155	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG21 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG21_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG21_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56074233.0	8.6 Gbp	0.0	155.0	45.0	64.98487682873962	155.0	155	pass	pass	fail	pass	warn	pass	pass	pass	warn	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG21 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG21_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG21_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56074233.0	8.6 Gbp	0.0	155.0	45.0	66.02238048816422	155.0	155	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG22 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG22_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG22_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45424792.0	7 Gbp	0.0	155.0	44.0	51.053885083948934	155.0	155	pass	pass	fail	pass	warn	pass	pass	pass	warn	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG22 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG22_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG22_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45424792.0	7 Gbp	0.0	155.0	44.0	52.98399604852193	155.0	155	pass	pass	pass	pass	warn	warn	pass	pass	warn	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG24 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG24_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG24_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46157697.0	7.1 Gbp	0.0	155.0	39.0	48.792082687851625	155.0	155	pass	pass	fail	pass	warn	pass	pass	pass	fail	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG24 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG24_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG24_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46157697.0	7.1 Gbp	0.0	155.0	39.0	50.83570972213678	155.0	155	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG26 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG26_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG26_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34649802.0	5.3 Gbp	0.0	155.0	44.0	76.18120884687183	155.0	155	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG26 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG26_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG26_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34649802.0	5.3 Gbp	0.0	155.0	44.0	77.2918569024762	155.0	155	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG27 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG27_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG27_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43140152.0	6.6 Gbp	0.0	155.0	35.0	29.43508631714351	155.0	155	pass	pass	fail	pass	warn	pass	pass	pass	fail	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG27 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG27_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG27_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43140152.0	6.6 Gbp	0.0	155.0	35.0	31.257491844613384	155.0	155	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG28 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG28_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG28_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34520862.0	5.3 Gbp	0.0	155.0	43.0	72.70673460489944	155.0	155	pass	pass	fail	pass	warn	fail	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG28 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG28_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG28_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34520862.0	5.3 Gbp	0.0	155.0	43.0	74.2420930164302	155.0	155	pass	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG3 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG3_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG3_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48565098.0	7.5 Gbp	0.0	155.0	47.0	81.31100371355828	155.0	155	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG3 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG3_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG3_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48565098.0	7.5 Gbp	0.0	155.0	47.0	82.3125516012056	155.0	155	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG31 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG31_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG31_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37893384.0	5.8 Gbp	0.0	155.0	47.0	66.28212263033384	155.0	155	pass	pass	fail	pass	warn	pass	pass	pass	warn	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG31 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG31_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG31_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37893384.0	5.8 Gbp	0.0	155.0	47.0	67.89349069492644	155.0	155	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG32 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG32_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG32_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38154730.0	5.9 Gbp	0.0	155.0	44.0	70.12863174663086	155.0	155	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG32 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG32_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG32_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38154730.0	5.9 Gbp	0.0	155.0	44.0	71.59226870235264	155.0	155	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG33 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG33_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG33_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47137539.0	7.3 Gbp	0.0	155.0	44.0	79.47811930380097	155.0	155	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG33 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG33_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG33_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47137539.0	7.3 Gbp	0.0	155.0	44.0	80.34301498975076	155.0	155	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG34 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG34_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG34_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47480942.0	7.3 Gbp	0.0	155.0	43.0	78.0535820977809	155.0	155	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG34 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG34_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG34_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47480942.0	7.3 Gbp	0.0	155.0	43.0	78.9569388805351	155.0	155	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG35 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG35_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG35_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51688321.0	8 Gbp	0.0	155.0	41.0	46.22482608021935	155.0	155	pass	pass	fail	pass	warn	pass	pass	pass	fail	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG35 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG35_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG35_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51688321.0	8 Gbp	0.0	155.0	41.0	48.22735359907328	155.0	155	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG37 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG37_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG37_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46158071.0	7.1 Gbp	0.0	155.0	44.0	69.947140718156	155.0	155	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG37 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG37_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG37_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46158071.0	7.1 Gbp	0.0	155.0	44.0	71.41019796842329	155.0	155	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG38 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG38_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG38_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40869120.0	6.3 Gbp	0.0	155.0	45.0	74.01086936723186	155.0	155	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG38 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG38_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG38_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40869120.0	6.3 Gbp	0.0	155.0	45.0	75.14937450001891	155.0	155	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG4 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG4_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG4_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50259832.0	7.7 Gbp	0.0	155.0	45.0	72.82043520153653	155.0	155	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	pass
