Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG14 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG14_1	(1.0, 66.9594661013392)	(2.0, 21.309448567350735)	(3.0, 6.666268174146281)	(4.0, 2.3902393491912064)	(5.0, 0.9170024456634334)	(6.0, 0.424418467729142)	(7.0, 0.2386777925447682)	(8.0, 0.1633654690789629)	(9.0, 0.11814420738262824)	('>10', 0.7682981561107014)	('>50', 0.014116372960939032)	('>100', 0.018826899422566924)	('>500', 0.007197125849220646)	('>1k', 0.004530871230221451)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG14 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG14_2	(1.0, 68.46223709438667)	(2.0, 20.34697930156222)	(3.0, 6.299540778780279)	(4.0, 2.206229021284087)	(5.0, 0.885275138506096)	(6.0, 0.41307639529466983)	(7.0, 0.26770026963417703)	(8.0, 0.1582140986214828)	(9.0, 0.1281525783477538)	('>10', 0.7154471212268554)	('>50', 0.017331182907433778)	('>100', 0.021801875509995843)	('>500', 0.004731638767747467)	('>1k', 0.004196591069818392)	('>5k', 0.0)	('>10k+', 0.06908691410074518)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG15 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG15_1	(1.0, 66.48253655793123)	(2.0, 21.789451350410744)	(3.0, 7.209896475050277)	(4.0, 2.5509592131299046)	(5.0, 0.9808604397951816)	(6.0, 0.3975425544806143)	(7.0, 0.17738954429114412)	(8.0, 0.11607580573538841)	(9.0, 0.0626705876701233)	('>10', 0.22040381849053559)	('>50', 0.006563638883549049)	('>100', 0.0028627042829863537)	('>500', 0.0027873098483267907)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG15 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG15_2	(1.0, 68.467369790913)	(2.0, 20.71991261422698)	(3.0, 6.648945499577788)	(4.0, 2.3361505408668317)	(5.0, 0.8303777878555672)	(6.0, 0.33886375833144255)	(7.0, 0.1832699736615532)	(8.0, 0.10991851008996653)	(9.0, 0.04847409132355427)	('>10', 0.21200472181470714)	('>50', 0.003243348726102932)	('>100', 0.006561862619399117)	('>500', 0.0025269982410469)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.09238050175208318)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG17 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG17_1	(1.0, 28.73454860637914)	(2.0, 15.799599191842928)	(3.0, 10.933101702648687)	(4.0, 8.842498123368038)	(5.0, 7.3218394699616915)	(6.0, 6.291230174214495)	(7.0, 5.120368497032337)	(8.0, 3.955422791325991)	(9.0, 3.1788076515693056)	('>10', 9.786633398285247)	('>50', 0.03017644185932441)	('>100', 0.003913072288968867)	('>500', 0.0018608792237377533)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG17 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG17_2	(1.0, 31.09402151763621)	(2.0, 15.434577024011487)	(3.0, 10.786689126188946)	(4.0, 8.434736173537981)	(5.0, 7.184172465779047)	(6.0, 6.1036082046429145)	(7.0, 4.906802861906066)	(8.0, 3.903711215829824)	(9.0, 3.0257037444560106)	('>10', 9.023043778864617)	('>50', 0.039844987534561074)	('>100', 0.005414796947975098)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.057674102664276986)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG19 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG19_1	(1.0, 28.136542039835692)	(2.0, 19.36200470004062)	(3.0, 14.665133289582027)	(4.0, 10.861314166460028)	(5.0, 8.00822642578777)	(6.0, 5.789636988672763)	(7.0, 4.169907952732689)	(8.0, 2.8305514239941365)	(9.0, 1.9277994722012308)	('>10', 4.229443961487749)	('>50', 0.014088353507333779)	('>100', 0.0053512256979234936)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG19 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG19_2	(1.0, 30.71754035096775)	(2.0, 19.055684020261264)	(3.0, 14.161766107457785)	(4.0, 10.529045960448098)	(5.0, 7.818049277972575)	(6.0, 5.613296025077004)	(7.0, 3.880655821026634)	(8.0, 2.59787626820536)	(9.0, 1.6972804051811101)	('>10', 3.830159460555602)	('>50', 0.024780519802774317)	('>100', 0.006235701586817559)	('>500', 0.001857563502896871)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.06577251795434952)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG2 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG2_1	(1.0, 66.62549279270613)	(2.0, 20.201330424792406)	(3.0, 7.06425521589516)	(4.0, 2.9373437685353516)	(5.0, 1.3256574284308922)	(6.0, 0.6391670366663332)	(7.0, 0.309480164520754)	(8.0, 0.21302489907630368)	(9.0, 0.13144510097213455)	('>10', 0.5265277411052693)	('>50', 0.026275427299245344)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG2 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG2_2	(1.0, 68.29808580009647)	(2.0, 19.30422043292948)	(3.0, 6.679400005981814)	(4.0, 2.7148835135011242)	(5.0, 1.2133354253304303)	(6.0, 0.6287016976459265)	(7.0, 0.30424391729145406)	(8.0, 0.1533587528104146)	(9.0, 0.09599271549332601)	('>10', 0.5193899145848836)	('>50', 0.02064350625754807)	('>100', 0.0012418326349944106)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.06650248544205938)
