Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG61 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG61_1	(1.0, 51.06116920217195)	(2.0, 25.973675301260908)	(3.0, 12.558930595888244)	(4.0, 5.5225982404754514)	(5.0, 2.5018683443884613)	(6.0, 1.151534232611018)	(7.0, 0.5160976925858888)	(8.0, 0.27311993106871874)	(9.0, 0.12982887519838252)	('>10', 0.30993174072240653)	('>50', 0.0012458436285822726)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG61 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG61_2	(1.0, 54.937077124423595)	(2.0, 24.195974259426144)	(3.0, 11.5870574028218)	(4.0, 5.012679039957944)	(5.0, 2.173013589384811)	(6.0, 0.9420846852767131)	(7.0, 0.45776118504323576)	(8.0, 0.20056236840083094)	(9.0, 0.1256052452061265)	('>10', 0.27855880761874763)	('>50', 0.003656161340302725)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.08597013109975042)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG62 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG62_1	(1.0, 54.10680297309438)	(2.0, 25.925279365423997)	(3.0, 11.569001042342437)	(4.0, 4.687442351404346)	(5.0, 1.930666075371284)	(6.0, 0.8408094078170743)	(7.0, 0.3429576453658128)	(8.0, 0.20116049365492428)	(9.0, 0.11884985522475464)	('>10', 0.2770307903009691)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG62 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG62_2	(1.0, 58.11521050810465)	(2.0, 24.119935047880787)	(3.0, 10.162189653222917)	(4.0, 4.278070663975278)	(5.0, 1.665391633629003)	(6.0, 0.7214576048710833)	(7.0, 0.334472348097965)	(8.0, 0.16931845941974233)	(9.0, 0.0961954151135588)	('>10', 0.24746632382231262)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.09029234186268356)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG7 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG7_1	(1.0, 30.0434863172783)	(2.0, 22.637551890405057)	(3.0, 16.032170975717904)	(4.0, 10.774259377125292)	(5.0, 6.869572302250032)	(6.0, 4.346960562113701)	(7.0, 2.7479425904269115)	(8.0, 1.7825390227683788)	(9.0, 1.2014557804467316)	('>10', 3.373754391462575)	('>50', 0.11207880181758538)	('>100', 0.07822798818751638)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG7 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG7_2	(1.0, 36.012856745579406)	(2.0, 20.96249139684323)	(3.0, 14.887385821393087)	(4.0, 9.813394167478732)	(5.0, 6.165821253871133)	(6.0, 3.8834814709314442)	(7.0, 2.4344007524894655)	(8.0, 1.564899084389252)	(9.0, 1.0188837581185877)	('>10', 2.8098741337019515)	('>50', 0.14050435178519985)	('>100', 0.08251032133550369)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.22349674208307474)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG8 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG8_1	(1.0, 24.870190162915794)	(2.0, 19.098174274458056)	(3.0, 14.385334010170252)	(4.0, 10.20858739589586)	(5.0, 6.967533588090921)	(6.0, 5.031795801030372)	(7.0, 3.694720312774624)	(8.0, 2.623170501676376)	(9.0, 1.991906944771878)	('>10', 10.010208458367801)	('>50', 0.4513315812084545)	('>100', 0.5186202069266187)	('>500', 0.11262426041690414)	('>1k', 0.035802501296156176)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG8 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1MG8_2	(1.0, 29.56197131774087)	(2.0, 18.516863351113415)	(3.0, 13.59359604203157)	(4.0, 9.550654319930047)	(5.0, 6.615183695855058)	(6.0, 4.608549013264657)	(7.0, 3.2417766219034125)	(8.0, 2.4011058518220625)	(9.0, 1.7764423851510354)	('>10', 8.982714045755014)	('>50', 0.39260998620259796)	('>100', 0.47473016242074606)	('>500', 0.10673111509736057)	('>1k', 0.022941315577446643)	('>5k', 0.0)	('>10k+', 0.15413077613482543)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG100 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG100_1	(1.0, 65.48445686302938)	(2.0, 23.227173611873773)	(3.0, 7.501746246481565)	(4.0, 2.3644855495032204)	(5.0, 0.7204905554765151)	(6.0, 0.26512800694921496)	(7.0, 0.13835808387744247)	(8.0, 0.06171595364305879)	(9.0, 0.047637463492204477)	('>10', 0.1813095116364701)	('>50', 0.003381744178760836)	('>100', 0.00411640985843032)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG100 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG100_2	(1.0, 66.59928453521947)	(2.0, 22.283724210692355)	(3.0, 7.325755431898576)	(4.0, 2.2305770893480714)	(5.0, 0.729783837074697)	(6.0, 0.26182453684512286)	(7.0, 0.1331649204638863)	(8.0, 0.06569127588615424)	(9.0, 0.037460539931351663)	('>10', 0.21841451430484426)	('>50', 0.003485553715074718)	('>100', 0.006110952657456645)	('>500', 0.006168118744072316)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.09855448321886531)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG101 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG101_1	(1.0, 65.13215320304778)	(2.0, 23.080901009808006)	(3.0, 7.621361235497573)	(4.0, 2.546840088281499)	(5.0, 0.8777803562565344)	(6.0, 0.32729925078521926)	(7.0, 0.1543272970111589)	(8.0, 0.07678107924803526)	(9.0, 0.04553465677939599)	('>10', 0.12323838909025062)	('>50', 0.004409804191053358)	('>100', 0.006508730930525469)	('>500', 0.002864899072981485)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG101 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG101_2	(1.0, 66.27484786282388)	(2.0, 22.31093714371932)	(3.0, 7.383648689608053)	(4.0, 2.3805099196028396)	(5.0, 0.8490146066340089)	(6.0, 0.3139777549059739)	(7.0, 0.15118928538441184)	(8.0, 0.08479966717619486)	(9.0, 0.049544526823975296)	('>10', 0.11603997251410755)	('>50', 0.002218083084407327)	('>100', 0.008307936531848397)	('>500', 0.0028707068096760478)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.07209384438132575)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG102 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG102_1	(1.0, 61.050597061592114)	(2.0, 23.67649999876904)	(3.0, 8.983178701854929)	(4.0, 3.449047617679539)	(5.0, 1.3544680710836805)	(6.0, 0.6331515043269428)	(7.0, 0.31515656302518535)	(8.0, 0.16496150230847192)	(9.0, 0.09429760428514908)	('>10', 0.26396576430862595)	('>50', 0.0033742465746095848)	('>100', 0.011301364191661292)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG102 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG102_2	(1.0, 62.322878656388745)	(2.0, 22.977384629502545)	(3.0, 8.597120429818185)	(4.0, 3.335757077369149)	(5.0, 1.300022626889394)	(6.0, 0.5792135308344238)	(7.0, 0.29469424548489903)	(8.0, 0.13751343942642086)	(9.0, 0.10332926079684539)	('>10', 0.24946431952436793)	('>50', 0.0022225243582900947)	('>100', 0.012312025124148576)	('>500', 0.0031006113419226778)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.08498662314071091)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG103 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG103_1	(1.0, 58.24832620445748)	(2.0, 24.515260616287865)	(3.0, 9.8546674694458)	(4.0, 3.8300696038795996)	(5.0, 1.5418926533373734)	(6.0, 0.6841969359543147)	(7.0, 0.3462616094461421)	(8.0, 0.19721648474283296)	(9.0, 0.11044167513470252)	('>10', 0.5893006670233151)	('>50', 0.0638157335764225)	('>100', 0.018550346714153586)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG103 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG103_2	(1.0, 59.545613935140196)	(2.0, 23.914900389043783)	(3.0, 9.455097972207412)	(4.0, 3.6370616241621025)	(5.0, 1.499704166564548)	(6.0, 0.6626074402248247)	(7.0, 0.30467057374089335)	(8.0, 0.19203033283981805)	(9.0, 0.12757893088147565)	('>10', 0.497878951465734)	('>50', 0.06781281924536638)	('>100', 0.03087485249900762)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.06416801198474523)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG104 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG104_1	(1.0, 59.24992495516668)	(2.0, 25.1127285315222)	(3.0, 9.5155032641779)	(4.0, 3.67673883684065)	(5.0, 1.2793607239047071)	(6.0, 0.5773265591655374)	(7.0, 0.24324533664579528)	(8.0, 0.1112193322978193)	(9.0, 0.06786128383063939)	('>10', 0.1545897834869712)	('>50', 0.00332897612246394)	('>100', 0.002875761018166341)	('>500', 0.0)	('>1k', 0.005296655820525515)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG104 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG104_2	(1.0, 60.871458212298315)	(2.0, 24.113370827241912)	(3.0, 9.094202944275558)	(4.0, 3.444605813242332)	(5.0, 1.327387463835063)	(6.0, 0.5415422986076895)	(7.0, 0.20065868344117843)	(8.0, 0.11110968089514672)	(9.0, 0.054639519004230086)	('>10', 0.13378064099440706)	('>50', 0.0)	('>100', 0.0013330741489020956)	('>500', 0.005422327874557746)	('>1k', 0.009516112653009804)	('>5k', 0.0)	('>10k+', 0.09097240148770076)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG105 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG105_1	(1.0, 49.47297369098209)	(2.0, 23.93280668943269)	(3.0, 11.458004556238643)	(4.0, 5.933235162912987)	(5.0, 3.3875427723690454)	(6.0, 1.9727021648028673)	(7.0, 1.248552224899879)	(8.0, 0.8137308342621956)	(9.0, 0.519029769674402)	('>10', 1.2587174386236448)	('>50', 0.0)	('>100', 0.0027046958015454086)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG105 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG105_2	(1.0, 50.922209633759685)	(2.0, 22.99765745259078)	(3.0, 11.24708839806575)	(4.0, 5.6931842700816855)	(5.0, 3.3041845624830977)	(6.0, 1.9362995411567698)	(7.0, 1.2457458195859796)	(8.0, 0.8293279457075879)	(9.0, 0.5156615396199815)	('>10', 1.2431262581083387)	('>50', 0.0010765257566460412)	('>100', 0.0012690716757253495)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.06316898140795753)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG63 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG63_1	(1.0, 65.6370810409212)	(2.0, 23.13895329697959)	(3.0, 7.591450590147271)	(4.0, 2.313476132991874)	(5.0, 0.7653254364616076)	(6.0, 0.22905020028962417)	(7.0, 0.10616119355660877)	(8.0, 0.04964135874263413)	(9.0, 0.0406048648922166)	('>10', 0.12661977840501937)	('>50', 0.0)	('>100', 0.001636106612335914)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG63 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG63_2	(1.0, 66.7147546596206)	(2.0, 22.3874649837486)	(3.0, 7.321702240334971)	(4.0, 2.1936685106907325)	(5.0, 0.7447603987958548)	(6.0, 0.2662285900900933)	(7.0, 0.09801393586499534)	(8.0, 0.04961087932941747)	(9.0, 0.0304345068945081)	('>10', 0.13242901894063022)	('>50', 0.00225722899115581)	('>100', 0.003412135709587687)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.05526291098887743)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG64 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG64_1	(1.0, 64.37606565917356)	(2.0, 23.516586751899315)	(3.0, 7.897379105657343)	(4.0, 2.5957880996235567)	(5.0, 0.8992645312125624)	(6.0, 0.31941112595225407)	(7.0, 0.14635217728952576)	(8.0, 0.06470698192096384)	(9.0, 0.04456186993371296)	('>10', 0.1381560110532238)	('>50', 0.0)	('>100', 0.0017276862839849959)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG64 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG64_2	(1.0, 65.66944608687915)	(2.0, 22.65461988659505)	(3.0, 7.573697722911812)	(4.0, 2.4632915997178917)	(5.0, 0.8653716501849558)	(6.0, 0.3292168312125424)	(7.0, 0.15631488113509212)	(8.0, 0.07273359514294779)	(9.0, 0.023273618403163325)	('>10', 0.10840259550950998)	('>50', 0.0)	('>100', 0.002726097456368375)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0809054348514994)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG65 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG65_1	(1.0, 53.74098425633643)	(2.0, 21.523978678296636)	(3.0, 8.189662339702753)	(4.0, 3.2636059458268396)	(5.0, 1.5339310859670263)	(6.0, 0.840471984234999)	(7.0, 0.5716407952799324)	(8.0, 0.49008478649113074)	(9.0, 0.4526051574478416)	('>10', 8.917287434795911)	('>50', 0.41160693821090816)	('>100', 0.010557069978179527)	('>500', 0.0027634324104233005)	('>1k', 0.01912458240171114)	('>5k', 0.031695512619293056)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG65 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG65_2	(1.0, 55.33687635494379)	(2.0, 20.694420700341965)	(3.0, 7.9270948631059035)	(4.0, 3.133201246795293)	(5.0, 1.3676303335923563)	(6.0, 0.8628382568045616)	(7.0, 0.5541035634016599)	(8.0, 0.4293435643201239)	(9.0, 0.39783133574375584)	('>10', 8.767270649948552)	('>50', 0.3682437045774646)	('>100', 0.0175627929001187)	('>500', 0.0)	('>1k', 0.01959019359064616)	('>5k', 0.03004979940539835)	('>10k+', 0.0939426405284699)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG66 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG66_1	(1.0, 21.805418421833764)	(2.0, 18.923084895015602)	(3.0, 16.15839521091106)	(4.0, 12.4621236653414)	(5.0, 9.249140888998356)	(6.0, 6.500412740923833)	(7.0, 4.319367616932093)	(8.0, 2.879766299866007)	(9.0, 1.9278095202710448)	('>10', 5.144871940495253)	('>50', 0.4601466093270149)	('>100', 0.16540861612661775)	('>500', 0.004053573958003584)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG66 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG66_2	(1.0, 24.58359946430968)	(2.0, 18.580740212763825)	(3.0, 15.445423069544814)	(4.0, 12.205352806154908)	(5.0, 8.856939998295568)	(6.0, 5.938031073897406)	(7.0, 4.277202496828511)	(8.0, 2.8008818111237366)	(9.0, 1.836072978993937)	('>10', 4.79313268462217)	('>50', 0.4350807304870337)	('>100', 0.16924478747837096)	('>500', 0.006914189123524371)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.07138369637652109)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG67 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG67_1	(1.0, 56.8616968903464)	(2.0, 24.458825249304525)	(3.0, 9.95794517996351)	(4.0, 3.9032088997119136)	(5.0, 1.5955813411913211)	(6.0, 0.8212324649498757)	(7.0, 0.45765574352281835)	(8.0, 0.31098576319087207)	(9.0, 0.21946024790465532)	('>10', 1.3070681022509099)	('>50', 0.08825388143453279)	('>100', 0.008072226404220407)	('>500', 0.0)	('>1k', 0.01001400982452225)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG67 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG67_2	(1.0, 58.42692409071459)	(2.0, 23.65527303485824)	(3.0, 9.354962164658707)	(4.0, 3.8791592898335074)	(5.0, 1.5200415490151733)	(6.0, 0.7592400169150748)	(7.0, 0.43110005775003835)	(8.0, 0.2885374155926462)	(9.0, 0.18694301562106075)	('>10', 1.3211594670434263)	('>50', 0.07694454987348798)	('>100', 0.008575568366055684)	('>500', 0.0)	('>1k', 0.009467653179968005)	('>5k', 0.0)	('>10k+', 0.08167212657798259)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG68 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG68_1	(1.0, 63.13016431140978)	(2.0, 24.019525571938303)	(3.0, 8.313337839354586)	(4.0, 2.774655465092598)	(5.0, 1.0090044357969778)	(6.0, 0.37589321603408177)	(7.0, 0.15647696621596155)	(8.0, 0.06472339745090788)	(9.0, 0.034444700413718846)	('>10', 0.10294040307153939)	('>50', 0.011071112229811879)	('>100', 0.003023458215396452)	('>500', 0.004739122776343044)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG68 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG68_2	(1.0, 64.41438670756125)	(2.0, 23.41550112887306)	(3.0, 7.807133285415844)	(4.0, 2.743746976907644)	(5.0, 0.8555261656759066)	(6.0, 0.30111519328893765)	(7.0, 0.15031594446370342)	(8.0, 0.07276258760478074)	(9.0, 0.04859295275640895)	('>10', 0.1048955657852783)	('>50', 0.011088283650036878)	('>100', 0.0026192782700499274)	('>500', 0.00448665668490747)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.06782927306217845)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG69 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG69_1	(1.0, 59.12023976149431)	(2.0, 24.221736186308178)	(3.0, 9.739370084964866)	(4.0, 3.8759099501663794)	(5.0, 1.5743016298403116)	(6.0, 0.6782275366999397)	(7.0, 0.3059068878866957)	(8.0, 0.14058766642100376)	(9.0, 0.05876865237699673)	('>10', 0.2783925489591229)	('>50', 0.0033562258515701243)	('>100', 0.003202869030613151)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG69 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG69_2	(1.0, 60.74794908459491)	(2.0, 23.15082594578824)	(3.0, 9.243373331812816)	(4.0, 3.812361059617955)	(5.0, 1.5196493327684362)	(6.0, 0.6715805655390747)	(7.0, 0.2834384917670912)	(8.0, 0.13439524429551408)	(9.0, 0.07895981889620987)	('>10', 0.2589295502533327)	('>50', 0.005531759472126813)	('>100', 0.004616035019691009)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.08838978017459666)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG70 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG70_1	(1.0, 49.01294008808163)	(2.0, 23.410819855855753)	(3.0, 11.947736652392749)	(4.0, 6.226372854336698)	(5.0, 3.5363001128451264)	(6.0, 2.024731556618139)	(7.0, 1.3110394019807554)	(8.0, 0.7616786677547296)	(9.0, 0.4640729325389741)	('>10', 1.1884968199763708)	('>50', 0.07423535989399405)	('>100', 0.029307689327378983)	('>500', 0.0)	('>1k', 0.012268008397672676)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG70 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG70_2	(1.0, 50.73374515290342)	(2.0, 22.87236960092186)	(3.0, 11.414347259902426)	(4.0, 6.052257065145258)	(5.0, 3.303418263583038)	(6.0, 1.964191218572551)	(7.0, 1.1764553941975877)	(8.0, 0.7370129497323517)	(9.0, 0.4738447516590075)	('>10', 1.1044672589188753)	('>50', 0.062243372112398096)	('>100', 0.022635134584167816)	('>500', 0.00270680505418231)	('>1k', 0.0116755928994767)	('>5k', 0.0)	('>10k+', 0.06863017981337659)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG71 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG71_1	(1.0, 62.149101620783384)	(2.0, 23.420367422706217)	(3.0, 8.579751441682882)	(4.0, 3.0955009258512445)	(5.0, 1.1789125612079523)	(6.0, 0.5629162082011397)	(7.0, 0.2648470227254491)	(8.0, 0.13775784997172535)	(9.0, 0.11773849366482209)	('>10', 0.4844614471014246)	('>50', 0.002312493614449545)	('>100', 0.002202475119237352)	('>500', 0.004130037370101148)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch3_P3_for_Q | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG71 | AAAWL5JHV_230321_MG_Batch3_P3_23s002006-1-1_Gross_lane1MG71_2	(1.0, 63.41502709051745)	(2.0, 22.816499561164925)	(3.0, 8.219108270916806)	(4.0, 2.8895002148950346)	(5.0, 1.153917377978478)	(6.0, 0.4455662863958575)	(7.0, 0.2515171253294528)	(8.0, 0.16396863878889656)	(9.0, 0.09837720443422213)	('>10', 0.4622993046497037)	('>50', 0.0011331321786585459)	('>100', 0.00451798758531933)	('>500', 0.0037223162637442303)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.07484548890145457)
