.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1111 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1111_R1_001	1	1	1	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1111 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1111_R2_001	1	1	0.25	1	0.5	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1112 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1112_R1_001	1	1	1	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1112 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1112_R2_001	1	1	0.25	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1113 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1113_R1_001	1	1	1	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1113 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1113_R2_001	1	1	0.25	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1114 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1114_R1_001	1	1	1	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1114 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1114_R2_001	1	1	0.25	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1115 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1115_R1_001	1	1	1	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1115 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1115_R2_001	1	1	0.25	1	0.5	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1116 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1116_R1_001	1	1	1	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1116 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1116_R2_001	1	1	0.25	1	0.5	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1117 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1117_R1_001	1	1	1	1	0.25	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1117 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1117_R2_001	1	1	0.25	1	0.25	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1118 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1118_R1_001	1	1	1	1	0.25	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1118 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1118_R2_001	1	1	0.25	1	0.5	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1119 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1119_R1_001	1	1	1	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1119 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1119_R2_001	1	1	0.25	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1120 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1120_R1_001	1	1	1	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1120 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1120_R2_001	1	1	0.25	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1121 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1121_R1_001	1	1	1	1	0.25	1	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1121 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1121_R2_001	1	1	0.25	1	0.25	1	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1122 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1122_R1_001	1	1	1	1	0.25	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1122 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1122_R2_001	1	1	0.25	1	0.25	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1123 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1123_R1_001	1	1	1	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1123 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1123_R2_001	1	1	0.25	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1124 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1124_R1_001	1	1	1	1	0.5	0.5	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1124 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1124_R2_001	1	1	0.25	1	0.5	0.5	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1125 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1125_R1_001	1	1	1	1	0.25	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1125 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1125_R2_001	1	1	0.25	1	0.25	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1126 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1126_R1_001	1	1	1	1	0.25	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1126 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1126_R2_001	1	1	0.25	1	0.25	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1129 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1129_R1_001	1	1	1	1	0.5	1	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1129 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1129_R2_001	1	1	0.25	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1131 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1131_R1_001	1	1	1	1	0.5	1	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1131 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1131_R2_001	1	1	0.25	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1132 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1132_R1_001	1	1	1	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1132 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1132_R2_001	1	1	0.25	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1134 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1134_R1_001	1	1	1	1	0.5	1	1	1	0.25	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1134 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1134_R2_001	1	1	0.25	1	0.5	1	1	1	0.25	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1135 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1135_R1_001	1	1	1	1	0.25	0.25	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1135 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1135_R2_001	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1136 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1136_R1_001	1	1	1	1	0.25	0.5	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1136 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1136_R2_001	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1137 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1137_R1_001	1	1	1	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1137 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1137_R2_001	1	1	0.25	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1138 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1138_R1_001	1	1	1	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1138 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1138_R2_001	1	1	0.25	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1140 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1140_R1_001	1	1	1	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1140 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1140_R2_001	1	1	0.25	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1141 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1141_R1_001	1	1	1	1	0.5	1	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1141 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1141_R2_001	1	1	0.25	1	0.5	1	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1142 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1142_R1_001	1	1	1	1	0.5	0.5	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1142 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1142_R2_001	1	1	0.25	1	0.5	0.5	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1143 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1143_R1_001	1	1	1	1	0.5	1	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1143 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1143_R2_001	1	1	0.25	1	0.5	1	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1144 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1144_R1_001	1	1	1	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1144 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1144_R2_001	1	1	0.25	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1145 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1145_R1_001	1	1	1	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1145 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1145_R2_001	1	1	0.25	1	0.5	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1146 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1146_R1_001	1	1	1	1	0.25	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1146 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1146_R2_001	1	1	0.25	1	0.25	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1147 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1147_R1_001	1	1	1	1	0.5	1	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1147 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1147_R2_001	1	1	0.25	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1148 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1148_R1_001	1	1	1	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1148 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1148_R2_001	1	1	0.25	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1149 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1149_R1_001	1	1	1	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1149 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1149_R2_001	1	1	0.25	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1150 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1150_R1_001	1	1	1	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1150 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1150_R2_001	1	1	0.25	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1152 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1152_R1_001	1	1	1	1	0.5	1	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1152 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1152_R2_001	1	1	0.25	1	0.5	1	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1127 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1127_1	1	1	0.25	1	0.5	0.25	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1127 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1127_2	1	1	1	1	0.5	0.25	1	1	0.5	0.5	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1128 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1128_1	1	1	0.25	1	0.5	0.25	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1128 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1128_2	1	1	1	1	0.5	0.25	1	1	0.5	0.5	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1133 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1133_1	1	1	0.25	1	0.25	1	1	1	0.5	1	0.5
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1133 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1133_2	1	1	1	1	0.25	1	1	1	0.5	1	0.5
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1139 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1139_1	1	1	0.25	1	0.25	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1139 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1139_2	1	1	1	1	0.25	0.5	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1151 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1151_1	1	1	0.25	1	0.25	0.25	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1151 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1151_2	1	1	1	1	0.25	0.25	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1154 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1154_1	1	1	0.25	1	0.25	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1154 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1154_2	1	1	1	1	0.25	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1155 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1155_1	1	1	0.25	1	0.25	1	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1155 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1155_2	1	1	1	1	0.25	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1156 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1156_1	1	1	0.25	1	0.25	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1156 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1156_2	1	1	1	1	0.25	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1157 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1157_1	1	1	0.25	1	0.25	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1157 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1157_2	1	1	1	1	0.25	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1158 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1158_1	1	1	0.25	1	0.25	1	1	1	0.25	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1158 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1158_2	1	1	1	1	0.25	1	1	1	0.25	1	1
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1159 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1159_1	1	1	0.25	1	0.5	1	1	1	0.5	1	1
