Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG14 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG14_1	(17.0, 1.0)	(18.0, 52.0)	(19.0, 462.0)	(20.0, 3156.0)	(21.0, 11677.0)	(22.0, 27660.0)	(23.0, 48598.0)	(24.0, 83475.0)	(25.0, 136657.0)	(26.0, 224848.0)	(27.0, 353210.0)	(28.0, 547305.0)	(29.0, 802673.0)	(30.0, 1216020.0)	(31.0, 1954836.0)	(32.0, 4966215.0)	(33.0, 30947426.0)	(34.0, 775317.0)													
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG14 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG14_2	(13.0, 1.0)	(14.0, 2.0)	(15.0, 5.0)	(16.0, 58.0)	(17.0, 352.0)	(18.0, 1901.0)	(19.0, 6745.0)	(20.0, 16295.0)	(21.0, 28962.0)	(22.0, 44517.0)	(23.0, 64971.0)	(24.0, 102386.0)	(25.0, 160272.0)	(26.0, 253230.0)	(27.0, 383656.0)	(28.0, 588228.0)	(29.0, 885986.0)	(30.0, 1439688.0)	(31.0, 2697338.0)	(32.0, 8567921.0)	(33.0, 26626022.0)	(34.0, 231052.0)									
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG15 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG15_1	(17.0, 3.0)	(18.0, 37.0)	(19.0, 435.0)	(20.0, 2686.0)	(21.0, 10225.0)	(22.0, 24644.0)	(23.0, 45563.0)	(24.0, 79452.0)	(25.0, 132098.0)	(26.0, 216456.0)	(27.0, 335979.0)	(28.0, 516366.0)	(29.0, 749859.0)	(30.0, 1128655.0)	(31.0, 1815479.0)	(32.0, 4616735.0)	(33.0, 28204588.0)	(34.0, 724445.0)													
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG15 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG15_2	(13.0, 1.0)	(14.0, 4.0)	(15.0, 9.0)	(16.0, 58.0)	(17.0, 327.0)	(18.0, 1791.0)	(19.0, 6587.0)	(20.0, 16283.0)	(21.0, 29613.0)	(22.0, 46952.0)	(23.0, 70870.0)	(24.0, 111793.0)	(25.0, 171726.0)	(26.0, 266231.0)	(27.0, 391931.0)	(28.0, 588716.0)	(29.0, 872831.0)	(30.0, 1409888.0)	(31.0, 2652610.0)	(32.0, 8347632.0)	(33.0, 23435631.0)	(34.0, 182221.0)									
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG17 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG17_1	(17.0, 1.0)	(18.0, 28.0)	(19.0, 298.0)	(20.0, 2149.0)	(21.0, 7820.0)	(22.0, 18736.0)	(23.0, 34894.0)	(24.0, 66553.0)	(25.0, 120959.0)	(26.0, 213176.0)	(27.0, 347511.0)	(28.0, 550947.0)	(29.0, 816213.0)	(30.0, 1250723.0)	(31.0, 2050289.0)	(32.0, 5829416.0)	(33.0, 31153188.0)	(34.0, 375238.0)													
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG17 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG17_2	(15.0, 5.0)	(16.0, 39.0)	(17.0, 298.0)	(18.0, 1541.0)	(19.0, 5291.0)	(20.0, 13449.0)	(21.0, 24409.0)	(22.0, 36281.0)	(23.0, 52515.0)	(24.0, 84807.0)	(25.0, 136865.0)	(26.0, 228151.0)	(27.0, 356115.0)	(28.0, 561745.0)	(29.0, 865187.0)	(30.0, 1432247.0)	(31.0, 2779342.0)	(32.0, 9594359.0)	(33.0, 26518683.0)	(34.0, 146810.0)											
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG19 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG19_1	(17.0, 1.0)	(18.0, 24.0)	(19.0, 328.0)	(20.0, 2041.0)	(21.0, 7769.0)	(22.0, 19669.0)	(23.0, 37402.0)	(24.0, 70527.0)	(25.0, 125875.0)	(26.0, 217492.0)	(27.0, 350514.0)	(28.0, 553739.0)	(29.0, 816213.0)	(30.0, 1241525.0)	(31.0, 2025172.0)	(32.0, 5487054.0)	(33.0, 31815640.0)	(34.0, 543588.0)													
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG19 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG19_2	(15.0, 5.0)	(16.0, 50.0)	(17.0, 314.0)	(18.0, 1536.0)	(19.0, 5406.0)	(20.0, 13670.0)	(21.0, 24689.0)	(22.0, 37835.0)	(23.0, 56637.0)	(24.0, 91923.0)	(25.0, 147628.0)	(26.0, 240709.0)	(27.0, 371999.0)	(28.0, 579420.0)	(29.0, 881221.0)	(30.0, 1446534.0)	(31.0, 2756648.0)	(32.0, 9247807.0)	(33.0, 27228794.0)	(34.0, 181748.0)											
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG2 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG2_1	(18.0, 40.0)	(19.0, 354.0)	(20.0, 2497.0)	(21.0, 9122.0)	(22.0, 22120.0)	(23.0, 41000.0)	(24.0, 72643.0)	(25.0, 121411.0)	(26.0, 203543.0)	(27.0, 319250.0)	(28.0, 497532.0)	(29.0, 728037.0)	(30.0, 1104638.0)	(31.0, 1784850.0)	(32.0, 4592401.0)	(33.0, 27166109.0)	(34.0, 608688.0)														
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG2 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG2_2	(13.0, 1.0)	(14.0, 1.0)	(15.0, 8.0)	(16.0, 40.0)	(17.0, 253.0)	(18.0, 1375.0)	(19.0, 4929.0)	(20.0, 12334.0)	(21.0, 22879.0)	(22.0, 36679.0)	(23.0, 55772.0)	(24.0, 89779.0)	(25.0, 141510.0)	(26.0, 225963.0)	(27.0, 342317.0)	(28.0, 527999.0)	(29.0, 798094.0)	(30.0, 1309823.0)	(31.0, 2468779.0)	(32.0, 7768312.0)	(33.0, 23270702.0)	(34.0, 196686.0)									
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG20 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG20_1	(17.0, 2.0)	(18.0, 98.0)	(19.0, 1165.0)	(20.0, 7374.0)	(21.0, 25213.0)	(22.0, 57619.0)	(23.0, 99307.0)	(24.0, 164291.0)	(25.0, 261972.0)	(26.0, 418390.0)	(27.0, 636847.0)	(28.0, 964055.0)	(29.0, 1370517.0)	(30.0, 2020842.0)	(31.0, 3116136.0)	(32.0, 7196826.0)	(33.0, 49766552.0)	(34.0, 2011865.0)													
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG20 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG20_2	(13.0, 1.0)	(14.0, 11.0)	(15.0, 26.0)	(16.0, 115.0)	(17.0, 587.0)	(18.0, 2902.0)	(19.0, 10743.0)	(20.0, 27635.0)	(21.0, 49590.0)	(22.0, 75068.0)	(23.0, 108894.0)	(24.0, 167412.0)	(25.0, 260203.0)	(26.0, 409356.0)	(27.0, 619219.0)	(28.0, 943699.0)	(29.0, 1400450.0)	(30.0, 2218602.0)	(31.0, 3904171.0)	(32.0, 11678946.0)	(33.0, 45629445.0)	(34.0, 611996.0)									
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG21 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG21_1	(18.0, 83.0)	(19.0, 890.0)	(20.0, 5356.0)	(21.0, 18662.0)	(22.0, 40877.0)	(23.0, 69966.0)	(24.0, 118185.0)	(25.0, 196005.0)	(26.0, 321870.0)	(27.0, 499655.0)	(28.0, 763160.0)	(29.0, 1098422.0)	(30.0, 1629705.0)	(31.0, 2531956.0)	(32.0, 6057134.0)	(33.0, 41400403.0)	(34.0, 1321904.0)														
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG21 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG21_2	(14.0, 2.0)	(15.0, 11.0)	(16.0, 64.0)	(17.0, 521.0)	(18.0, 2504.0)	(19.0, 8500.0)	(20.0, 20996.0)	(21.0, 36523.0)	(22.0, 55325.0)	(23.0, 80120.0)	(24.0, 126613.0)	(25.0, 200589.0)	(26.0, 323571.0)	(27.0, 493815.0)	(28.0, 761427.0)	(29.0, 1135432.0)	(30.0, 1808442.0)	(31.0, 3224997.0)	(32.0, 10017250.0)	(33.0, 37362825.0)	(34.0, 414706.0)										
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG22 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG22_1	(18.0, 41.0)	(19.0, 570.0)	(20.0, 3850.0)	(21.0, 13902.0)	(22.0, 31611.0)	(23.0, 54740.0)	(24.0, 94063.0)	(25.0, 155778.0)	(26.0, 255976.0)	(27.0, 398330.0)	(28.0, 611817.0)	(29.0, 880618.0)	(30.0, 1312141.0)	(31.0, 2071212.0)	(32.0, 5141589.0)	(33.0, 33503197.0)	(34.0, 895357.0)														
