Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1143 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1143_R1_001	(17.0, 5.0)	(18.0, 26.0)	(19.0, 267.0)	(20.0, 1318.0)	(21.0, 4386.0)	(22.0, 9972.0)	(23.0, 19997.0)	(24.0, 39380.0)	(25.0, 76206.0)	(26.0, 140973.0)	(27.0, 245456.0)	(28.0, 417270.0)	(29.0, 696401.0)	(30.0, 1208833.0)	(31.0, 2465772.0)	(32.0, 7578024.0)	(33.0, 30269343.0)	(34.0, 507684.0)													
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1143 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1143_R2_001	(4.0, 344.0)	(5.0, 27894.0)	(6.0, 94048.0)	(7.0, 9780.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 2.0)	(14.0, 3.0)	(15.0, 11.0)	(16.0, 68.0)	(17.0, 406.0)	(18.0, 1811.0)	(19.0, 6068.0)	(20.0, 14010.0)	(21.0, 23379.0)	(22.0, 35471.0)	(23.0, 55941.0)	(24.0, 88724.0)	(25.0, 141628.0)	(26.0, 231750.0)	(27.0, 382850.0)	(28.0, 646061.0)	(29.0, 1123435.0)	(30.0, 2152319.0)	(31.0, 4830341.0)	(32.0, 13483771.0)	(33.0, 20260421.0)	(34.0, 70777.0)
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1144 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1144_R1_001	(17.0, 1.0)	(18.0, 19.0)	(19.0, 244.0)	(20.0, 1313.0)	(21.0, 4921.0)	(22.0, 11801.0)	(23.0, 23713.0)	(24.0, 44779.0)	(25.0, 82429.0)	(26.0, 145191.0)	(27.0, 245827.0)	(28.0, 407268.0)	(29.0, 667885.0)	(30.0, 1140303.0)	(31.0, 2253370.0)	(32.0, 6647008.0)	(33.0, 27425804.0)	(34.0, 598288.0)													
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1144 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1144_R2_001	(4.0, 365.0)	(5.0, 25704.0)	(6.0, 84907.0)	(7.0, 9208.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 2.0)	(14.0, 9.0)	(15.0, 17.0)	(16.0, 73.0)	(17.0, 309.0)	(18.0, 1617.0)	(19.0, 5779.0)	(20.0, 13636.0)	(21.0, 24676.0)	(22.0, 38670.0)	(23.0, 61475.0)	(24.0, 95548.0)	(25.0, 149531.0)	(26.0, 239632.0)	(27.0, 388444.0)	(28.0, 643065.0)	(29.0, 1096475.0)	(30.0, 2053975.0)	(31.0, 4478890.0)	(32.0, 12050474.0)	(33.0, 18168449.0)	(34.0, 69234.0)
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1145 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1145_R1_001	(17.0, 4.0)	(18.0, 41.0)	(19.0, 397.0)	(20.0, 2190.0)	(21.0, 6600.0)	(22.0, 14103.0)	(23.0, 25516.0)	(24.0, 46383.0)	(25.0, 84220.0)	(26.0, 145839.0)	(27.0, 246418.0)	(28.0, 405396.0)	(29.0, 659637.0)	(30.0, 1124946.0)	(31.0, 2213183.0)	(32.0, 6487358.0)	(33.0, 26953691.0)	(34.0, 609378.0)													
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1145 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1145_R2_001	(4.0, 463.0)	(5.0, 27855.0)	(6.0, 83629.0)	(7.0, 8404.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 7.0)	(15.0, 25.0)	(16.0, 96.0)	(17.0, 449.0)	(18.0, 2362.0)	(19.0, 7791.0)	(20.0, 18370.0)	(21.0, 30414.0)	(22.0, 44714.0)	(23.0, 68940.0)	(24.0, 105297.0)	(25.0, 162222.0)	(26.0, 255756.0)	(27.0, 409352.0)	(28.0, 669306.0)	(29.0, 1137263.0)	(30.0, 2102657.0)	(31.0, 4520969.0)	(32.0, 11908344.0)	(33.0, 17397188.0)	(34.0, 63427.0)
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1146 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1146_R1_001	(17.0, 5.0)	(18.0, 30.0)	(19.0, 219.0)	(20.0, 1132.0)	(21.0, 3767.0)	(22.0, 9149.0)	(23.0, 18497.0)	(24.0, 35168.0)	(25.0, 65050.0)	(26.0, 116109.0)	(27.0, 196414.0)	(28.0, 324716.0)	(29.0, 531337.0)	(30.0, 900666.0)	(31.0, 1785098.0)	(32.0, 5357651.0)	(33.0, 22558107.0)	(34.0, 461250.0)													
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1146 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1146_R2_001	(4.0, 270.0)	(5.0, 19797.0)	(6.0, 70021.0)	(7.0, 8155.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 5.0)	(15.0, 13.0)	(16.0, 74.0)	(17.0, 292.0)	(18.0, 1419.0)	(19.0, 4950.0)	(20.0, 11289.0)	(21.0, 18632.0)	(22.0, 28208.0)	(23.0, 44414.0)	(24.0, 69026.0)	(25.0, 108466.0)	(26.0, 174637.0)	(27.0, 285245.0)	(28.0, 472348.0)	(29.0, 811476.0)	(30.0, 1522349.0)	(31.0, 3383013.0)	(32.0, 9553143.0)	(33.0, 15709390.0)	(34.0, 67733.0)
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1147 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1147_R1_001	(17.0, 2.0)	(18.0, 30.0)	(19.0, 242.0)	(20.0, 1249.0)	(21.0, 4117.0)	(22.0, 9195.0)	(23.0, 19027.0)	(24.0, 37782.0)	(25.0, 73118.0)	(26.0, 133337.0)	(27.0, 230946.0)	(28.0, 386796.0)	(29.0, 644101.0)	(30.0, 1112890.0)	(31.0, 2261346.0)	(32.0, 6947030.0)	(33.0, 27834063.0)	(34.0, 467832.0)													
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1147 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1147_R2_001	(4.0, 364.0)	(5.0, 26171.0)	(6.0, 84674.0)	(7.0, 8705.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 2.0)	(14.0, 6.0)	(15.0, 17.0)	(16.0, 70.0)	(17.0, 347.0)	(18.0, 1675.0)	(19.0, 5662.0)	(20.0, 13181.0)	(21.0, 22279.0)	(22.0, 34180.0)	(23.0, 53706.0)	(24.0, 85041.0)	(25.0, 134711.0)	(26.0, 219537.0)	(27.0, 359489.0)	(28.0, 601427.0)	(29.0, 1044770.0)	(30.0, 1990030.0)	(31.0, 4448406.0)	(32.0, 12316354.0)	(33.0, 18643710.0)	(34.0, 68589.0)
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1148 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1148_R1_001	(17.0, 1.0)	(18.0, 37.0)	(19.0, 223.0)	(20.0, 1168.0)	(21.0, 3716.0)	(22.0, 8240.0)	(23.0, 16823.0)	(24.0, 33825.0)	(25.0, 65412.0)	(26.0, 118472.0)	(27.0, 204794.0)	(28.0, 344120.0)	(29.0, 568062.0)	(30.0, 972837.0)	(31.0, 1969110.0)	(32.0, 6038606.0)	(33.0, 24678175.0)	(34.0, 427721.0)													
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1148 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1148_R2_001	(4.0, 343.0)	(5.0, 23286.0)	(6.0, 75865.0)	(7.0, 7671.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 11.0)	(16.0, 69.0)	(17.0, 335.0)	(18.0, 1558.0)	(19.0, 5220.0)	(20.0, 12126.0)	(21.0, 20315.0)	(22.0, 30856.0)	(23.0, 49018.0)	(24.0, 76490.0)	(25.0, 122059.0)	(26.0, 198131.0)	(27.0, 323885.0)	(28.0, 539487.0)	(29.0, 931185.0)	(30.0, 1773275.0)	(31.0, 3975550.0)	(32.0, 10990984.0)	(33.0, 16238713.0)	(34.0, 54908.0)
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1149 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1149_R1_001	(17.0, 2.0)	(18.0, 46.0)	(19.0, 363.0)	(20.0, 1596.0)	(21.0, 4755.0)	(22.0, 9594.0)	(23.0, 17504.0)	(24.0, 33178.0)	(25.0, 63346.0)	(26.0, 114274.0)	(27.0, 199089.0)	(28.0, 331149.0)	(29.0, 546844.0)	(30.0, 939233.0)	(31.0, 1892300.0)	(32.0, 5833921.0)	(33.0, 23357150.0)	(34.0, 367349.0)													
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1149 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1149_R2_001	(4.0, 316.0)	(5.0, 20372.0)	(6.0, 74603.0)	(7.0, 8716.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 4.0)	(15.0, 11.0)	(16.0, 73.0)	(17.0, 391.0)	(18.0, 1631.0)	(19.0, 5328.0)	(20.0, 11771.0)	(21.0, 19014.0)	(22.0, 27330.0)	(23.0, 41886.0)	(24.0, 65394.0)	(25.0, 104222.0)	(26.0, 170246.0)	(27.0, 282142.0)	(28.0, 472711.0)	(29.0, 820046.0)	(30.0, 1564569.0)	(31.0, 3550471.0)	(32.0, 10241398.0)	(33.0, 16169842.0)	(34.0, 59206.0)
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1150 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1150_R1_001	(17.0, 3.0)	(18.0, 23.0)	(19.0, 174.0)	(20.0, 859.0)	(21.0, 2672.0)	(22.0, 6691.0)	(23.0, 13669.0)	(24.0, 27879.0)	(25.0, 54033.0)	(26.0, 100065.0)	(27.0, 173955.0)	(28.0, 293173.0)	(29.0, 484969.0)	(30.0, 840354.0)	(31.0, 1717830.0)	(32.0, 5328030.0)	(33.0, 20472538.0)	(34.0, 297477.0)													
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1150 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1150_R2_001	(4.0, 294.0)	(5.0, 19248.0)	(6.0, 64098.0)	(7.0, 6636.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 5.0)	(15.0, 6.0)	(16.0, 45.0)	(17.0, 295.0)	(18.0, 1210.0)	(19.0, 4229.0)	(20.0, 9705.0)	(21.0, 15972.0)	(22.0, 24212.0)	(23.0, 37646.0)	(24.0, 60478.0)	(25.0, 97007.0)	(26.0, 159374.0)	(27.0, 262437.0)	(28.0, 442464.0)	(29.0, 770393.0)	(30.0, 1474309.0)	(31.0, 3326132.0)	(32.0, 9301951.0)	(33.0, 13691537.0)	(34.0, 44711.0)
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1152 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1152_R1_001	(16.0, 1.0)	(17.0, 5.0)	(18.0, 58.0)	(19.0, 416.0)	(20.0, 2055.0)	(21.0, 6259.0)	(22.0, 13092.0)	(23.0, 25697.0)	(24.0, 50522.0)	(25.0, 97166.0)	(26.0, 177887.0)	(27.0, 309246.0)	(28.0, 522719.0)	(29.0, 869492.0)	(30.0, 1502329.0)	(31.0, 3032823.0)	(32.0, 9184754.0)	(33.0, 35769113.0)	(34.0, 561498.0)												
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch4_P3_for_Q | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1152 | AAC2FGFHV_230321_MG_Batch4_23s001005-1-1_Gross_lane1152_R2_001	(4.0, 597.0)	(5.0, 34567.0)	(6.0, 113694.0)	(7.0, 11747.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 1.0)	(13.0, 2.0)	(14.0, 6.0)	(15.0, 16.0)	(16.0, 96.0)	(17.0, 628.0)	(18.0, 2523.0)	(19.0, 8538.0)	(20.0, 18766.0)	(21.0, 30730.0)	(22.0, 45927.0)	(23.0, 71322.0)	(24.0, 111997.0)	(25.0, 179535.0)	(26.0, 292103.0)	(27.0, 483610.0)	(28.0, 811734.0)	(29.0, 1405334.0)	(30.0, 2653318.0)	(31.0, 5880587.0)	(32.0, 16155564.0)	(33.0, 23736963.0)	(34.0, 75226.0)
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1127 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1127_1	(17.0, 2.0)	(18.0, 11.0)	(19.0, 94.0)	(20.0, 508.0)	(21.0, 1630.0)	(22.0, 3775.0)	(23.0, 6998.0)	(24.0, 12829.0)	(25.0, 22251.0)	(26.0, 36586.0)	(27.0, 59011.0)	(28.0, 94966.0)	(29.0, 143646.0)	(30.0, 225542.0)	(31.0, 381809.0)	(32.0, 954427.0)	(33.0, 4728310.0)	(34.0, 121876.0)													
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1127 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1127_2	(15.0, 1.0)	(16.0, 7.0)	(17.0, 86.0)	(18.0, 525.0)	(19.0, 2187.0)	(20.0, 5255.0)	(21.0, 8762.0)	(22.0, 12815.0)	(23.0, 18633.0)	(24.0, 28305.0)	(25.0, 43029.0)	(26.0, 64708.0)	(27.0, 97866.0)	(28.0, 148900.0)	(29.0, 228672.0)	(30.0, 378944.0)	(31.0, 736162.0)	(32.0, 1870324.0)	(33.0, 3127680.0)	(34.0, 21410.0)											
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1128 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1128_1	(17.0, 1.0)	(18.0, 13.0)	(19.0, 165.0)	(20.0, 841.0)	(21.0, 2598.0)	(22.0, 6228.0)	(23.0, 12367.0)	(24.0, 23345.0)	(25.0, 41853.0)	(26.0, 71412.0)	(27.0, 117186.0)	(28.0, 189516.0)	(29.0, 290791.0)	(30.0, 448357.0)	(31.0, 773115.0)	(32.0, 1959152.0)	(33.0, 10165702.0)	(34.0, 272807.0)													
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1128 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1128_2	(15.0, 2.0)	(16.0, 21.0)	(17.0, 148.0)	(18.0, 982.0)	(19.0, 3807.0)	(20.0, 9477.0)	(21.0, 16205.0)	(22.0, 23539.0)	(23.0, 34848.0)	(24.0, 53125.0)	(25.0, 82155.0)	(26.0, 125862.0)	(27.0, 191563.0)	(28.0, 291557.0)	(29.0, 451740.0)	(30.0, 747965.0)	(31.0, 1462809.0)	(32.0, 3873604.0)	(33.0, 6954221.0)	(34.0, 51819.0)											
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1133 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1133_1	(18.0, 8.0)	(19.0, 79.0)	(20.0, 375.0)	(21.0, 942.0)	(22.0, 2247.0)	(23.0, 3990.0)	(24.0, 7140.0)	(25.0, 12327.0)	(26.0, 20512.0)	(27.0, 32811.0)	(28.0, 52205.0)	(29.0, 82835.0)	(30.0, 135081.0)	(31.0, 192026.0)	(32.0, 412773.0)	(33.0, 2716581.0)	(34.0, 140881.0)														
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1133 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1133_2	(15.0, 3.0)	(16.0, 6.0)	(17.0, 52.0)	(18.0, 342.0)	(19.0, 1278.0)	(20.0, 2628.0)	(21.0, 3510.0)	(22.0, 4701.0)	(23.0, 6805.0)	(24.0, 10610.0)	(25.0, 16571.0)	(26.0, 25607.0)	(27.0, 39369.0)	(28.0, 60381.0)	(29.0, 92453.0)	(30.0, 150597.0)	(31.0, 285244.0)	(32.0, 805965.0)	(33.0, 2270413.0)	(34.0, 36278.0)											
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1139 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1139_1	(17.0, 1.0)	(18.0, 16.0)	(19.0, 143.0)	(20.0, 771.0)	(21.0, 2505.0)	(22.0, 5787.0)	(23.0, 11876.0)	(24.0, 21928.0)	(25.0, 38109.0)	(26.0, 62651.0)	(27.0, 101216.0)	(28.0, 162665.0)	(29.0, 252705.0)	(30.0, 390295.0)	(31.0, 650142.0)	(32.0, 1540229.0)	(33.0, 8729073.0)	(34.0, 360348.0)													
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1139 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1139_2	(15.0, 2.0)	(16.0, 10.0)	(17.0, 123.0)	(18.0, 912.0)	(19.0, 3835.0)	(20.0, 8976.0)	(21.0, 14627.0)	(22.0, 21058.0)	(23.0, 30563.0)	(24.0, 46445.0)	(25.0, 69679.0)	(26.0, 105642.0)	(27.0, 159304.0)	(28.0, 242513.0)	(29.0, 373365.0)	(30.0, 609966.0)	(31.0, 1154876.0)	(32.0, 2978964.0)	(33.0, 6432686.0)	(34.0, 76914.0)											
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1151 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1151_1	(17.0, 1.0)	(18.0, 13.0)	(19.0, 93.0)	(20.0, 535.0)	(21.0, 1797.0)	(22.0, 4308.0)	(23.0, 8498.0)	(24.0, 16088.0)	(25.0, 28883.0)	(26.0, 50220.0)	(27.0, 83217.0)	(28.0, 135977.0)	(29.0, 224647.0)	(30.0, 351927.0)	(31.0, 563983.0)	(32.0, 1338208.0)	(33.0, 7268536.0)	(34.0, 262062.0)													
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1151 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1151_2	(16.0, 9.0)	(17.0, 75.0)	(18.0, 588.0)	(19.0, 2541.0)	(20.0, 5604.0)	(21.0, 8661.0)	(22.0, 11874.0)	(23.0, 17068.0)	(24.0, 26348.0)	(25.0, 41603.0)	(26.0, 65863.0)	(27.0, 104849.0)	(28.0, 166845.0)	(29.0, 267190.0)	(30.0, 447296.0)	(31.0, 864784.0)	(32.0, 2366522.0)	(33.0, 5860733.0)	(34.0, 80540.0)												
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1154 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1154_1	(17.0, 1.0)	(18.0, 10.0)	(19.0, 104.0)	(20.0, 656.0)	(21.0, 2434.0)	(22.0, 5954.0)	(23.0, 12796.0)	(24.0, 25763.0)	(25.0, 48875.0)	(26.0, 87115.0)	(27.0, 146501.0)	(28.0, 238731.0)	(29.0, 362401.0)	(30.0, 552642.0)	(31.0, 940449.0)	(32.0, 2563007.0)	(33.0, 15523138.0)	(34.0, 371429.0)													
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1154 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1154_2	(15.0, 1.0)	(16.0, 15.0)	(17.0, 139.0)	(18.0, 663.0)	(19.0, 2324.0)	(20.0, 5597.0)	(21.0, 9732.0)	(22.0, 15254.0)	(23.0, 24952.0)	(24.0, 41945.0)	(25.0, 69899.0)	(26.0, 114090.0)	(27.0, 181432.0)	(28.0, 286349.0)	(29.0, 456413.0)	(30.0, 782875.0)	(31.0, 1651507.0)	(32.0, 5329195.0)	(33.0, 11804710.0)	(34.0, 104914.0)											
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1155 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1155_1	(17.0, 1.0)	(18.0, 19.0)	(19.0, 236.0)	(20.0, 1466.0)	(21.0, 5008.0)	(22.0, 11437.0)	(23.0, 23698.0)	(24.0, 46615.0)	(25.0, 89424.0)	(26.0, 155970.0)	(27.0, 263355.0)	(28.0, 428362.0)	(29.0, 648113.0)	(30.0, 986993.0)	(31.0, 1684166.0)	(32.0, 4643823.0)	(33.0, 27498172.0)	(34.0, 613520.0)													
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1155 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1155_2	(15.0, 3.0)	(16.0, 37.0)	(17.0, 236.0)	(18.0, 1295.0)	(19.0, 4487.0)	(20.0, 10439.0)	(21.0, 18050.0)	(22.0, 28340.0)	(23.0, 45614.0)	(24.0, 77231.0)	(25.0, 127557.0)	(26.0, 205480.0)	(27.0, 326377.0)	(28.0, 511693.0)	(29.0, 814447.0)	(30.0, 1388719.0)	(31.0, 2941055.0)	(32.0, 9425068.0)	(33.0, 20986326.0)	(34.0, 187924.0)											
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1156 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1156_1	(17.0, 2.0)	(18.0, 29.0)	(19.0, 346.0)	(20.0, 1884.0)	(21.0, 6482.0)	(22.0, 14875.0)	(23.0, 28979.0)	(24.0, 55623.0)	(25.0, 103796.0)	(26.0, 180207.0)	(27.0, 302629.0)	(28.0, 492195.0)	(29.0, 749019.0)	(30.0, 1132259.0)	(31.0, 1912132.0)	(32.0, 5046421.0)	(33.0, 32378989.0)	(34.0, 962265.0)													
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1156 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1156_2	(14.0, 1.0)	(15.0, 4.0)	(16.0, 51.0)	(17.0, 332.0)	(18.0, 1685.0)	(19.0, 5666.0)	(20.0, 12861.0)	(21.0, 22049.0)	(22.0, 33609.0)	(23.0, 53624.0)	(24.0, 88352.0)	(25.0, 145820.0)	(26.0, 233177.0)	(27.0, 371792.0)	(28.0, 584060.0)	(29.0, 925368.0)	(30.0, 1568258.0)	(31.0, 3257816.0)	(32.0, 10417442.0)	(33.0, 25367648.0)	(34.0, 278517.0)										
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1157 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1157_1	(17.0, 3.0)	(18.0, 43.0)	(19.0, 466.0)	(20.0, 2839.0)	(21.0, 8982.0)	(22.0, 19519.0)	(23.0, 35928.0)	(24.0, 67764.0)	(25.0, 124959.0)	(26.0, 217168.0)	(27.0, 362445.0)	(28.0, 582442.0)	(29.0, 878831.0)	(30.0, 1319596.0)	(31.0, 2200525.0)	(32.0, 5682338.0)	(33.0, 38094399.0)	(34.0, 1210279.0)													
/ | scratch | karcher | fastqc | 230804_PRISMA_Batch5_P3_for_Q | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1157 | AAAWJV5HV_230321_MG_Batch5_23s001006-1-1_Gross_lane1157_2	(15.0, 4.0)	(16.0, 47.0)	(17.0, 440.0)	(18.0, 2150.0)	(19.0, 7428.0)	(20.0, 16368.0)	(21.0, 26556.0)	(22.0, 38620.0)	(23.0, 59116.0)	(24.0, 97075.0)	(25.0, 159271.0)	(26.0, 256615.0)	(27.0, 409909.0)	(28.0, 646048.0)	(29.0, 1021620.0)	(30.0, 1715229.0)	(31.0, 3495743.0)	(32.0, 11450996.0)	(33.0, 31021137.0)	(34.0, 384154.0)											
