mOTU
ext_mOTU_v31_15426
ext_mOTU_v31_16187
ext_mOTU_v31_16237
ext_mOTU_v31_16238
ext_mOTU_v31_16239
ext_mOTU_v31_16263
ext_mOTU_v31_16278
ext_mOTU_v31_17397
ext_mOTU_v31_17400
ext_mOTU_v31_17403
ext_mOTU_v31_17410
ext_mOTU_v31_17413
ext_mOTU_v31_17435
ext_mOTU_v31_17451
ext_mOTU_v31_17454
ext_mOTU_v31_17475
ext_mOTU_v31_17476
ext_mOTU_v31_17477
ext_mOTU_v31_17485
ext_mOTU_v31_17496
ext_mOTU_v31_17511
ext_mOTU_v31_17512
ext_mOTU_v31_17526
ext_mOTU_v31_17527
ext_mOTU_v31_17539
ext_mOTU_v31_17563
ext_mOTU_v31_17581
ext_mOTU_v31_17582
ext_mOTU_v31_17583
ext_mOTU_v31_17591
ext_mOTU_v31_17593
ext_mOTU_v31_17628
ext_mOTU_v31_17659
ext_mOTU_v31_17696
ext_mOTU_v31_17781
ext_mOTU_v31_17807
ext_mOTU_v31_17983
ext_mOTU_v31_17985
ext_mOTU_v31_17991
ext_mOTU_v31_18028
ext_mOTU_v31_18089
ext_mOTU_v31_18090
ext_mOTU_v31_18098
ext_mOTU_v31_18175
ext_mOTU_v31_18180
ext_mOTU_v31_18233
ext_mOTU_v31_18237
ext_mOTU_v31_18238
ext_mOTU_v31_18239
ext_mOTU_v31_18275
ext_mOTU_v31_26714
ext_mOTU_v31_26805
ext_mOTU_v31_26875
ext_mOTU_v31_26966
ext_mOTU_v31_27011
ext_mOTU_v31_27014
meta_mOTU_v31_12228
meta_mOTU_v31_12231
meta_mOTU_v31_12233
meta_mOTU_v31_12237
meta_mOTU_v31_12239
meta_mOTU_v31_12240
meta_mOTU_v31_12251
meta_mOTU_v31_12253
meta_mOTU_v31_12254
meta_mOTU_v31_12255
meta_mOTU_v31_12259
meta_mOTU_v31_12260
meta_mOTU_v31_12262
meta_mOTU_v31_12264
meta_mOTU_v31_12265
meta_mOTU_v31_12266
meta_mOTU_v31_12272
meta_mOTU_v31_12276
meta_mOTU_v31_12282
meta_mOTU_v31_12284
meta_mOTU_v31_12285
meta_mOTU_v31_12286
meta_mOTU_v31_12287
meta_mOTU_v31_12288
meta_mOTU_v31_12301
meta_mOTU_v31_12303
meta_mOTU_v31_12304
meta_mOTU_v31_12306
meta_mOTU_v31_12307
meta_mOTU_v31_12308
meta_mOTU_v31_12309
meta_mOTU_v31_12314
meta_mOTU_v31_12316
meta_mOTU_v31_12323
meta_mOTU_v31_12324
meta_mOTU_v31_12325
meta_mOTU_v31_12327
meta_mOTU_v31_12329
meta_mOTU_v31_12334
meta_mOTU_v31_12336
meta_mOTU_v31_12337
meta_mOTU_v31_12340
meta_mOTU_v31_12351
meta_mOTU_v31_12352
meta_mOTU_v31_12353
meta_mOTU_v31_12356
meta_mOTU_v31_12361
meta_mOTU_v31_12366
meta_mOTU_v31_12371
meta_mOTU_v31_12376
meta_mOTU_v31_12382
meta_mOTU_v31_12396
meta_mOTU_v31_12399
meta_mOTU_v31_12400
meta_mOTU_v31_12403
meta_mOTU_v31_12411
meta_mOTU_v31_12417
meta_mOTU_v31_12425
meta_mOTU_v31_12437
meta_mOTU_v31_12447
meta_mOTU_v31_12452
meta_mOTU_v31_12463
meta_mOTU_v31_12470
meta_mOTU_v31_12471
meta_mOTU_v31_12473
meta_mOTU_v31_12476
meta_mOTU_v31_12487
meta_mOTU_v31_12494
meta_mOTU_v31_12499
meta_mOTU_v31_12510
meta_mOTU_v31_12516
meta_mOTU_v31_12521
meta_mOTU_v31_12522
meta_mOTU_v31_12547
meta_mOTU_v31_12563
meta_mOTU_v31_12569
meta_mOTU_v31_12587
meta_mOTU_v31_12610
meta_mOTU_v31_12614
meta_mOTU_v31_12617
meta_mOTU_v31_12623
meta_mOTU_v31_12631
meta_mOTU_v31_12640
meta_mOTU_v31_12654
meta_mOTU_v31_12667
meta_mOTU_v31_12668
meta_mOTU_v31_12688
meta_mOTU_v31_12690
meta_mOTU_v31_12691
meta_mOTU_v31_12694
meta_mOTU_v31_12706
meta_mOTU_v31_12707
meta_mOTU_v31_12747
meta_mOTU_v31_12763
meta_mOTU_v31_12768
meta_mOTU_v31_12774
meta_mOTU_v31_12776
meta_mOTU_v31_12785
meta_mOTU_v31_12786
meta_mOTU_v31_12832
meta_mOTU_v31_12845
meta_mOTU_v31_12852
meta_mOTU_v31_12873
meta_mOTU_v31_12886
meta_mOTU_v31_12887
meta_mOTU_v31_12898
meta_mOTU_v31_12911
meta_mOTU_v31_12983
meta_mOTU_v31_12985
meta_mOTU_v31_13012
meta_mOTU_v31_13031
meta_mOTU_v31_13063
meta_mOTU_v31_13115
meta_mOTU_v31_13140
meta_mOTU_v31_13147
meta_mOTU_v31_13154
meta_mOTU_v31_13155
meta_mOTU_v31_13165
meta_mOTU_v31_13168
meta_mOTU_v31_13176
meta_mOTU_v31_13187
meta_mOTU_v31_13196
meta_mOTU_v31_13206
meta_mOTU_v31_13210
meta_mOTU_v31_13286
meta_mOTU_v31_13305
meta_mOTU_v31_13308
meta_mOTU_v31_13332
meta_mOTU_v31_13390
meta_mOTU_v31_13392
meta_mOTU_v31_13415
meta_mOTU_v31_13426
meta_mOTU_v31_13455
meta_mOTU_v31_13514
meta_mOTU_v31_13554
meta_mOTU_v31_13572
meta_mOTU_v31_13659
meta_mOTU_v31_13660
meta_mOTU_v31_13662
meta_mOTU_v31_13686
meta_mOTU_v31_13701
meta_mOTU_v31_13710
meta_mOTU_v31_13729
meta_mOTU_v31_13745
meta_mOTU_v31_13749
meta_mOTU_v31_13774
meta_mOTU_v31_13811
meta_mOTU_v31_13819
meta_mOTU_v31_13847
meta_mOTU_v31_13876
meta_mOTU_v31_13922
meta_mOTU_v31_13944
meta_mOTU_v31_13955
meta_mOTU_v31_13965
meta_mOTU_v31_13976
meta_mOTU_v31_14015
meta_mOTU_v31_14034
meta_mOTU_v31_14120
meta_mOTU_v31_14166
meta_mOTU_v31_14185
meta_mOTU_v31_14235
meta_mOTU_v31_14272
meta_mOTU_v31_14283
meta_mOTU_v31_14346
ref_mOTU_v31_00095
ref_mOTU_v31_00096
ref_mOTU_v31_00283
ref_mOTU_v31_00296
ref_mOTU_v31_00318
ref_mOTU_v31_00719
ref_mOTU_v31_00853
ref_mOTU_v31_00859
ref_mOTU_v31_00860
ref_mOTU_v31_00861
ref_mOTU_v31_01014
ref_mOTU_v31_01017
ref_mOTU_v31_01061
ref_mOTU_v31_01350
ref_mOTU_v31_01578
ref_mOTU_v31_01579
ref_mOTU_v31_01591
ref_mOTU_v31_01594
ref_mOTU_v31_01597
ref_mOTU_v31_01657
ref_mOTU_v31_01679
ref_mOTU_v31_01682
ref_mOTU_v31_01910
ref_mOTU_v31_01911
ref_mOTU_v31_01938
ref_mOTU_v31_01939
ref_mOTU_v31_01941
ref_mOTU_v31_02019
ref_mOTU_v31_02041
ref_mOTU_v31_02140
ref_mOTU_v31_02152
ref_mOTU_v31_02154
ref_mOTU_v31_02190
ref_mOTU_v31_02367
ref_mOTU_v31_02374
ref_mOTU_v31_02375
ref_mOTU_v31_02376
ref_mOTU_v31_02378
ref_mOTU_v31_02680
ref_mOTU_v31_02700
ref_mOTU_v31_02701
ref_mOTU_v31_02702
ref_mOTU_v31_02703
ref_mOTU_v31_02743
ref_mOTU_v31_02792
ref_mOTU_v31_02810
ref_mOTU_v31_02949
ref_mOTU_v31_02967
ref_mOTU_v31_02968
ref_mOTU_v31_02969
ref_mOTU_v31_02970
ref_mOTU_v31_02971
ref_mOTU_v31_03069
ref_mOTU_v31_03281
ref_mOTU_v31_03341
ref_mOTU_v31_03342
ref_mOTU_v31_03343
ref_mOTU_v31_03435
ref_mOTU_v31_03436
ref_mOTU_v31_03437
ref_mOTU_v31_03438
ref_mOTU_v31_03439
ref_mOTU_v31_03442
ref_mOTU_v31_03444
ref_mOTU_v31_03445
ref_mOTU_v31_03446
ref_mOTU_v31_03447
ref_mOTU_v31_03473
ref_mOTU_v31_03594
ref_mOTU_v31_03595
ref_mOTU_v31_03598
ref_mOTU_v31_03599
ref_mOTU_v31_03600
ref_mOTU_v31_03605
ref_mOTU_v31_03606
ref_mOTU_v31_03618
ref_mOTU_v31_03622
ref_mOTU_v31_03623
ref_mOTU_v31_03626
ref_mOTU_v31_03632
ref_mOTU_v31_03633
ref_mOTU_v31_03636
ref_mOTU_v31_03640
ref_mOTU_v31_03641
ref_mOTU_v31_03650
ref_mOTU_v31_03657
ref_mOTU_v31_03658
ref_mOTU_v31_03659
ref_mOTU_v31_03660
ref_mOTU_v31_03661
ref_mOTU_v31_03667
ref_mOTU_v31_03668
ref_mOTU_v31_03672
ref_mOTU_v31_03673
ref_mOTU_v31_03674
ref_mOTU_v31_03675
ref_mOTU_v31_03676
ref_mOTU_v31_03677
ref_mOTU_v31_03678
ref_mOTU_v31_03680
ref_mOTU_v31_03681
ref_mOTU_v31_03685
ref_mOTU_v31_03687
ref_mOTU_v31_03688
ref_mOTU_v31_03690
ref_mOTU_v31_03691
ref_mOTU_v31_03692
ref_mOTU_v31_03697
ref_mOTU_v31_03698
ref_mOTU_v31_03701
ref_mOTU_v31_03702
ref_mOTU_v31_03703
ref_mOTU_v31_03846
ref_mOTU_v31_03928
ref_mOTU_v31_04054
ref_mOTU_v31_04300
ref_mOTU_v31_04652
ref_mOTU_v31_04664
ref_mOTU_v31_04706
ref_mOTU_v31_04716
ref_mOTU_v31_04828
ref_mOTU_v31_05069
ref_mOTU_v31_05137
ref_mOTU_v31_05139
ref_mOTU_v31_05140
ref_mOTU_v31_05236
ref_mOTU_v31_05238
ref_mOTU_v31_05265
ref_mOTU_v31_05273
ref_mOTU_v31_05400
ref_mOTU_v31_06108
ref_mOTU_v31_06109
ref_mOTU_v31_06110
ref_mOTU_v31_06112
ref_mOTU_v31_06126
ref_mOTU_v31_06282
ref_mOTU_v31_06317
ref_mOTU_v31_06399
ref_mOTU_v31_06538
ref_mOTU_v31_06695
ref_mOTU_v31_07383
ref_mOTU_v31_07592
ref_mOTU_v31_07613
ref_mOTU_v31_07616
ref_mOTU_v31_07618
ref_mOTU_v31_07662
ref_mOTU_v31_07673
ref_mOTU_v31_07679
ref_mOTU_v31_07714
ref_mOTU_v31_07732
ref_mOTU_v31_07733
ref_mOTU_v31_07735
ref_mOTU_v31_07736
ref_mOTU_v31_07737
ref_mOTU_v31_07738
ref_mOTU_v31_08094
ref_mOTU_v31_08865
ref_mOTU_v31_08868
ref_mOTU_v31_08871
ref_mOTU_v31_09093
ref_mOTU_v31_09169
ref_mOTU_v31_09389
ref_mOTU_v31_10413
ref_mOTU_v31_11151
ref_mOTU_v31_11153
ref_mOTU_v31_11181
ref_mOTU_v31_11279
ref_mOTU_v31_11463
ref_mOTU_v31_11605
ref_mOTU_v31_11606
ref_mOTU_v31_11607
ref_mOTU_v31_11609
ref_mOTU_v31_11610
ref_mOTU_v31_11851
